folio,siteNumber,phase,user,startDate,partId,sku,unr,unrId,qty,fac_qty,unitaryPrice, Adjusted income (TOTAL) ,rent,,period
A10140246,70015975,Facturado,gp@vsys.com,18/06/2015,27351255,UNC.CUAD.906.1,UNC.CUAD.906.1,27351283,20,18,$18.50,$370.00,$333.00,,01/09/2019
A10140246,70015975,Facturado,gp@vsys.com,18/06/2015,27351284,UNC.CUAD.907.1,UNC.CUAD.907.1,27351285,20,18,$18.50,$370.00,$333.00,,
A10140246,70015975,Facturado,gp@vsys.com,18/06/2015,27351152,UNC.CUAD.901.1,UNC.CUAD.901.1,27351164,2,2,$136.30,$272.60,$272.60,,
A10140115,70100182,Facturado,gp@vsys.com,16/07/2015,27345847,UNC.CUAD.901.1,UNC.CUAD.901.1,27345859,2,2,$136.30,$272.60,$272.60,,
A10140115,70100182,Facturado,gp@vsys.com,16/07/2015,27345860,UNC.CUAD.904.1.4,UNC.CUAD.904.1.4,27345943,16,16,$162.80,"$2,604.80","$2,604.80",,
A10140115,70100182,Facturado,gp@vsys.com,16/07/2015,27345969,UNC.CUAD.907.1,UNC.CUAD.907.1,27345970,16,14,$18.50,$296.00,$259.00,,
A10140115,70100182,Facturado,gp@vsys.com,16/07/2015,27345971,UNC.CUAD.911.1,UNR.CUAD.911.1,27345972,18,16,$12.00,$216.00,$192.00,,
A10140115,70100182,Facturado,gp@vsys.com,16/07/2015,27345944,UNC.CUAD.906.1,UNC.CUAD.906.1,27345968,16,14,$18.50,$296.00,$259.00,,
A11140052,70020971,Facturado,gp@vsys.com,03/07/2015,27395898,UNC.CUAD.901.1,UNC.CUAD.901.1,27395910,2,2,$136.30,$272.60,$272.60,,
A11140052,70020971,Facturado,gp@vsys.com,03/07/2015,27395911,UNC.CUAD.904.1.4,UNC.CUAD.904.1.4,27395996,19,19,$162.80,"$3,093.20","$3,093.20",,
A11140052,70020971,Facturado,gp@vsys.com,03/07/2015,27396025,UNC.CUAD.907.1,UNC.CUAD.907.1,27396026,19,18,$18.50,$351.50,$333.00,,
A11140052,70020971,Facturado,gp@vsys.com,03/07/2015,27396027,UNC.CUAD.911.1,UNR.CUAD.911.1,27396028,21,20,$12.00,$252.00,$240.00,,
A11140052,70020971,Facturado,gp@vsys.com,03/07/2015,27395997,UNC.CUAD.906.1,UNC.CUAD.906.1,27396024,19,18,$18.50,$351.50,$333.00,,
A10140331,70050943,Facturado,gp@vsys.com,13/07/2015,27421356,UNC.CUAD.904.1.4,UNC.CUAD.904.1.4,27421421,14,14,$162.80,"$2,279.20","$2,279.20",,
A10140330,71282577,Facturado,gp@vsys.com,08/07/2015,27420848,UNC.CUAD.901.1,UNC.CUAD.901.1,27420860,2,2,$136.30,$272.60,$272.60,,
A10140330,71282577,Facturado,gp@vsys.com,08/07/2015,27420759,UNC.CUAD.904.1.4,UNC.CUAD.904.1.4,27420847,19,19,$162.80,"$3,093.20","$3,093.20",,
A10140330,71282577,Facturado,gp@vsys.com,08/07/2015,27420889,UNC.CUAD.907.1,UNC.CUAD.907.1,27420890,19,15,$18.50,$351.50,$277.50,,
A10140330,71282577,Facturado,gp@vsys.com,08/07/2015,27420914,UNC.CUAD.911.1,UNR.CUAD.911.1,27420915,21,17,$12.00,$252.00,$204.00,,
A10140330,71282577,Facturado,gp@vsys.com,08/07/2015,27420861,UNC.CUAD.906.1,UNC.CUAD.906.1,27420888,19,15,$18.50,$351.50,$277.50,,
A10140109,71236930,Facturado,gp@vsys.com,13/08/2015,27344707,UNC.CUAD.904.1.4,UNC.CUAD.904.1.4,27344800,21,21,$162.80,"$3,418.80","$3,418.80",,
A10140109,71236930,Facturado,gp@vsys.com,13/08/2015,27344833,UNC.CUAD.911.1,UNR.CUAD.911.1,27344834,23,22,$12.00,$276.00,$264.00,,
A10140109,71236930,Facturado,gp@vsys.com,13/08/2015,27344694,UNC.CUAD.901.1 ,UNC.CUAD.901.1 ,27344706,2,2,$136.30,$272.60,$272.60,,
A10140109,71236930,Facturado,gp@vsys.com,13/08/2015,27344801,UNC.CUAD.906.1,UNC.CUAD.906.1,27344830,21,20,$18.50,$388.50,$370.00,,
A10140268,70020973,Facturado,gp@vsys.com,09/10/2015,27408422,UNC.CUAD.901.1,UNC.CUAD.901.1,27408434,2,2,$136.30,$272.60,$272.60,,
A10140268,70020973,Facturado,gp@vsys.com,09/10/2015,27408435,UNC.CUAD.904.1.4,UNC.CUAD.904.1.4,27408572,32,32,$162.80,"$5,209.60","$5,209.60",,
A10140268,70020973,Facturado,gp@vsys.com,09/10/2015,27408573,UNC.CUAD.906.1,UNC.CUAD.906.1,27408613,32,31,$18.50,$592.00,$573.50,,
A10140268,70020973,Facturado,gp@vsys.com,09/10/2015,27408616,UNC.CUAD.911.1,UNR.CUAD.911.1,27408617,34,33,$12.00,$408.00,$396.00,,
A10140263,71286960,Facturado,gp@vsys.com,01/12/2015,27405235,UNC.CUAD.901.1,UNC.CUAD.901.1,27405247,2,2,$136.30,$272.60,$272.60,,
A10140263,71286960,Facturado,gp@vsys.com,01/12/2015,27405248,UNC.CUAD.904.1.4,UNC.CUAD.904.1.4,27405601,86,86,$162.80,"$14,000.80","$14,000.80",,
A10140263,71286960,Facturado,gp@vsys.com,01/12/2015,27405602,UNC.CUAD.906.1,UNC.CUAD.906.1,27405696,86,66,$18.50,"$1,591.00","$1,221.00",,
A10140263,71286960,Facturado,gp@vsys.com,01/12/2015,27405699,UNC.CUAD.911.1,UNR.CUAD.911.1,27405700,88,68,$12.00,"$1,056.00",$816.00,,
A10140343,71379786,Facturado,gp@vsys.com,16/12/2015,27406632,UNC.CUAD.904.1.4,UNC.CUAD.904.1.4,27406865,56,56,$162.80,"$9,116.80","$9,116.80",,
A10140343,71379786,Facturado,gp@vsys.com,16/12/2015,27406619,UNC.CUAD.901.1,UNC.CUAD.901.1,27406631,2,2,$136.30,$272.60,$272.60,,
A10140343,71379786,Facturado,gp@vsys.com,16/12/2015,27406866,UNC.CUAD.906.1,UNC.CUAD.906.1,27406930,56,48,$18.50,"$1,036.00",$888.00,,
A10140343,71379786,Facturado,gp@vsys.com,16/12/2015,27406933,UNC.CUAD.911.1,UNR.CUAD.911.1,27406934,58,50,$12.00,$696.00,$600.00,,
A10140278,70015972,Facturado,gp@vsys.com,13/01/2016,27410145,UNC.CUAD.901.1,UNC.CUAD.901.1,27410157,2,2,$136.30,$272.60,$272.60,,
A10140278,70015972,Facturado,gp@vsys.com,13/01/2016,27410158,UNC.CUAD.904.1.4,UNC.CUAD.904.1.4,27410231,16,16,$162.80,"$2,604.80","$2,604.80",,
A10140278,70015972,Facturado,gp@vsys.com,13/01/2016,27410232,UNC.CUAD.906.1,UNC.CUAD.906.1,27410256,16,10,$18.50,$296.00,$185.00,,
A10140278,70015972,Facturado,gp@vsys.com,13/01/2016,27410259,UNC.CUAD.911.1,UNR.CUAD.911.1,27410260,18,12,$12.00,$216.00,$144.00,,
A10140258,71286070,Facturado,gp@vsys.com,19/01/2016,27404216,UNC.CUAD.901.1,UNC.CUAD.901.1,27404228,2,2,$136.30,$272.60,$272.60,,
A10140258,71286070,Facturado,gp@vsys.com,19/01/2016,27404229,UNC.CUAD.904.1.4,UNC.CUAD.904.1.4,27404322,21,21,$162.80,"$3,418.80","$3,418.80",,
A10140258,71286070,Facturado,gp@vsys.com,19/01/2016,27404323,UNC.CUAD.906.1,UNC.CUAD.906.1,27404352,21,19,$18.50,$388.50,$351.50,,
A10140258,71286070,Facturado,gp@vsys.com,19/01/2016,27404355,UNC.CUAD.911.1,UNR.CUAD.911.1,27404356,23,21,$12.00,$276.00,$252.00,,
A10140279,70015979,Facturado,gp@vsys.com,26/01/2016,27410603,UNC.CUAD.901.1,UNC.CUAD.901.1,27410615,2,2,$136.30,$272.60,$272.60,,
