folio,siteNumber,phase,user,startDate,partId,sku,unr,unrId,qty,fac_qty,unitaryPrice, Adjusted income (TOTAL) ,rent,,period
A01150610,71353088,Facturado,gp@vsys.com,01/10/2017,27803114,UNC.CUAD.BS.101,UNR.CUAD.BS.101,27803116,9,3,$121.13,"$1,090.17",$363.39,,01/04/2019
A01150610,71353088,Facturado,gp@vsys.com,01/10/2017,27803121,UNC.CUAD.BS.103,UNR.CUAD.BS.103,27803124,26,35,$165.73,"$4,308.98","$5,800.55",,
A01150610,71353088,Facturado,gp@vsys.com,01/10/2017,27803118,UNC.CUAD.BS.102,UNR.CUAD.BS.102,27803120,104,82,$137.10,"$14,258.40","$11,242.20",,
A01150610,71353088,Facturado,gp@vsys.com,01/10/2017,27803129,UNC.CUAD.BS.203,UNR.CUAD.BS.203,27803130,50,14,$7.20,$360.00,$100.80,,
A01150610,71353088,Facturado,gp@vsys.com,01/10/2017,27803131,UNC.CUAD.BS.205,UNR.CUAD.BS.205,27803132,25,17,$16.20,$405.00,$275.40,,
A01150614,70163505,Facturado,gp@vsys.com,01/05/2018,27809382,UNC.CUAD.BS.101,UNR.CUAD.BS.101,27809383,2,2,$121.13,$242.26,$242.26,,
A01150614,70163505,Facturado,gp@vsys.com,01/05/2018,27809386,UNC.CUAD.BS.103,UNR.CUAD.BS.103,27809387,9,3,$165.73,"$1,491.57",$497.19,,
A01150614,70163505,Facturado,gp@vsys.com,01/05/2018,27809384,UNC.CUAD.BS.102,UNR.CUAD.BS.102,27809385,36,42,$137.10,"$4,935.60","$5,758.20",,
A01150614,70163505,Facturado,gp@vsys.com,01/05/2018,27809390,UNC.CUAD.BS.203,UNR.CUAD.BS.203,27809391,20,1,$7.20,$144.00,$7.20,,
A01150614,70163505,Facturado,gp@vsys.com,01/05/2018,27809392,UNC.CUAD.BS.205,UNR.CUAD.BS.205,27809393,10,1,$16.20,$162.00,$16.20,,
A01150615,71247427,Facturado,gp@vsys.com,01/12/2015,27809935,UNC.CUAD.BS.101,UNR.CUAD.BS.101,27809936,4,1,$121.13,$484.52,$121.13,,
A01150615,71247427,Facturado,gp@vsys.com,01/12/2015,27809939,UNC.CUAD.BS.103,UNR.CUAD.BS.103,27809940,10,4,$165.73,"$1,657.30",$662.92,,
A01150615,71247427,Facturado,gp@vsys.com,01/12/2015,27809937,UNC.CUAD.BS.102,UNR.CUAD.BS.102,27809938,39,47,$137.10,"$5,346.90","$6,443.70",,
A01150615,71247427,Facturado,gp@vsys.com,01/12/2015,27809943,UNC.CUAD.BS.203,UNR.CUAD.BS.203,27809944,10,1,$7.20,$72.00,$7.20,,
A01150615,71247427,Facturado,gp@vsys.com,01/12/2015,27809945,UNC.CUAD.BS.205,UNR.CUAD.BS.205,27809946,5,2,$16.20,$81.00,$32.40,,
A05150038,71369751,Facturado,gp@vsys.com,01/02/2016,27809717,UNC.CUAD.BS.101,UNR.CUAD.BS.101,27809718,4,1,$121.13,$484.52,$121.13,,
A05150038,71369751,Facturado,gp@vsys.com,01/02/2016,27809721,UNC.CUAD.BS.103,UNR.CUAD.BS.103,27809722,11,13,$165.73,"$1,823.03","$2,154.49",,
A05150038,71369751,Facturado,gp@vsys.com,01/02/2016,27809719,UNC.CUAD.BS.102,UNR.CUAD.BS.102,27809720,43,38,$137.10,"$5,895.30","$5,209.80",,
A03160379,71353088,Facturado,gp@vsys.com,01/10/2017,29931713,UNC.CUAD.BS.102,UNR.CUAD.BS.102,29931714,3,2,$137.10,$411.30,$274.20,,
A12150445,71353088,Facturado,gp@vsys.com,01/10/2017,29365472,UNC.CUAD.BS.103,UNR.CUAD.BS.103,29365473,5,3,$165.73,$828.65,$497.19,,
A04160213,71353088,Facturado,gp@vsys.com,01/10/2017,30160985,UNC.CUAD.BS.101,UNR.CUAD.BS.101,30160986,8,4,$121.13,$969.04,$484.52,,
A01150610,71353088,Facturado,gp@vsys.com,01/10/2017,27803114,UNC.CUAD.BS.101,UNR.CUAD.BS.101,27803116,9,3,$121.13,"$1,090.17",$363.39,,
A01150610,71353088,Facturado,gp@vsys.com,01/10/2017,27803133,UNC.CUAD.BS.901,UNR.CUAD.BS.901,27803134,139,3,$17.10,"$2,376.90",$51.30,,
A05182012,70163505,Facturado,gp@vsys.com,01/05/2018,33053360,UNC.CUAD.BS.102,UNR.CUAD.BS.102,33053361,1,1,$137.10,$137.10,$137.10,,
A05182012,70163505,Facturado,gp@vsys.com,01/05/2018,33053362,UNC.CUAD.BS.103,UNR.CUAD.BS.103,33053363,1,1,$165.73,$165.73,$165.73,,
A04160213,71353088,Facturado,gp@vsys.com,01/10/2017,30160985,UNC.CUAD.BS.101,UNR.CUAD.BS.101,30160986,8,1,$121.13,$969.04,$121.13,,
A04160213,71353088,Facturado,gp@vsys.com,01/10/2017,30160985,UNC.CUAD.BS.101,UNR.CUAD.BS.101,30160986,8,2,$121.13,$969.04,$242.26,,
A04160213,71353088,Facturado,gp@vsys.com,01/10/2017,30160985,UNC.CUAD.BS.101,UNR.CUAD.BS.101,30160986,8,1,$121.13,$969.04,$121.13,,
A01150610,71353088,Facturado,gp@vsys.com,01/10/2017,27803114,UNC.CUAD.BS.101,UNR.CUAD.BS.101,27803116,8,1,$121.13,$969.04,$121.13,,
A09150245,71464197,Facturado,gp@vsys.com,01/10/2017,28743240,UNC.CUAD.BS.101,UNR.CUAD.BS.101,28743241,53,24,$121.13,"$6,419.89","$2,907.12",,
A09150245,71464197,Facturado,gp@vsys.com,01/10/2017,28743241,UNC.CUAD.BS.103,UNR.CUAD.BS.103,28743243,3,3,$165.73,$497.19,$497.19,,
A01160123,71276053,Facturado,gp@vsys.com,01/10/2017,29438598,UNC.CUAD.BS.101,UNR.CUAD.BS.101,29438599,31,30,$121.13,"$3,755.03","$3,633.90",,
A01160123,71276053,Facturado,gp@vsys.com,01/10/2017,29438600,UNC.CUAD.BS.103,UNR.CUAD.BS.103,29438601,1,1,$165.73,$165.73,$165.73,,
 A07160147,71276053,Facturado,gp@vsys.com,01/10/2017,30368843,UNC.CUAD.BS.102,UNR.CUAD.BS.102,30368844,2,2,$137.10,$274.20,$274.20,,
 A07160147,71276053,Facturado,gp@vsys.com,01/10/2017,30368845,UNC.CUAD.BS.901,UNR.CUAD.BS.901,30368846,2,2,$17.10,$34.20,$34.20,,
A02160217,71276053,Facturado,gp@vsys.com,01/10/2017,29522223,UNC.CUAD.BS.203,UNR.CUAD.BS.203,29522224,2,2,$7.20,$14.40,$14.40,,
A01170790,71276053,Facturado,gp@vsys.com,01/10/2017,31057956,UNC.CUAD.BS.103,UNR.CUAD.BS.103,31057957,2,2,$165.73,$331.46,$331.46,,
A01170790,71276053,Facturado,gp@vsys.com,01/10/2017,31057958,UNC.CUAD.BS.901,UNR.CUAD.BS.901,31057959,2,2,$17.10,$34.20,$34.20,,
A05181291,71276053,Facturado,gp@vsys.com,01/10/2017,33083131,UNC.CUAD.BS.102,UNR.CUAD.BS.102,33083132,2,2,$137.10,$274.20,$274.20,,
A02150180,71447767,Facturado,gp@vsys.com,01/10/2017,27931276,UNC.CUAD.BS.104,UNR.CUAD.BS.104,27931277,30,27,$199.85,"$5,995.50","$5,395.95",,
A02150180,71447767,Facturado,gp@vsys.com,01/10/2017,27931232,UNC.CUAD.BS.201,UNR.CUAD.BS.201,27931233,1,1,$51.30,$51.30,$51.30,,
