folio,clientName,siteNumber,phase,user,startDate,partId,sku,unr,unrId,qty,fac_qty,unitaryPrice,Adjusted income (TOTAL),rent,,period
A12180322,404 EDIF REGIONAL GDL,70122065,Facturado,gp@vsys.com,18/02/2019,33755277,UNC.CUAD.AVED101,UNR.CUAD.AVED101,33755278,322,322,395.6,127383.2,127383.2,,01/02/2020
A12180322,404 EDIF REGIONAL GDL,70122065,Facturado,gp@vsys.com,18/02/2019,33755279,UNC.CUAD.AVED100,UNR.CUAD.AVED100,33755280,4,4,378.6,1514.4,1514.4,,
A12180169,5581 PACHUCA OFNA PRINCIPAL,70115707,Facturado,gp@vsys.com,11/03/2019,33742560,UNC.CUAD.AVED101,UNR.CUAD.AVED101,33742561,141,131,395.6,55779.6,51823.6,,
A12180169,5581 PACHUCA OFNA PRINCIPAL,70115707,Facturado,gp@vsys.com,11/03/2019,33742562,UNC.CUAD.AVED100,UNR.CUAD.AVED100,33742563,2,2,378.6,757.2,757.2,,
A02191298,EDIFICIO MERIDA BLACK,71651362,Facturado,gp@vsys.com,25/03/2019,34306772,UNC.CUAD.AVED101,UNR.CUAD.AVED101,34306773,241,171,395.6,95339.6,67647.6,,
A12180315,211 (4474) MONTERREY PADRE MIER,70114293,Facturado,gp@vsys.com,15/04/2019,33754814,UNC.CUAD.AVED101,UNR.CUAD.AVED101,33754815,194,194,395.6,76746.4,76746.4,,
A12180315,211 (4474) MONTERREY PADRE MIER,70114293,Facturado,gp@vsys.com,15/04/2019,33754816,UNC.CUAD.AVED100,UNR.CUAD.AVED100,33754817,6,5,378.6,2271.6,1893,,
A04195593,211 (4474) MONTERREY PADRE MIER,70114293,Facturado,gp@vsys.com,15/04/2019,34889593,UNC.CUAD.AVED101,UNR.CUAD.AVED101,34889594,36,36,395.6,14241.6,14241.6,,
A12180373,1010 GUADALAJARA TERRANOVA,70122116,Facturado,gp@vsys.com,29/04/2019,33757555,UNC.CUAD.AVED101,UNR.CUAD.AVED101,33757556,152,108,395.6,60131.2,42724.8,,
A12180373,1010 GUADALAJARA TERRANOVA,70122116,Facturado,gp@vsys.com,29/04/2019,33757557,UNC.CUAD.AVED100,UNR.CUAD.AVED100,33757558,3,3,378.6,1135.8,1135.8,,
A03194441,BBVA 3936 AGS JOSE MA CHAVEZ,70122089,Facturado,gp@vsys.com,27/05/2019,34509997,UNC.CUAD.AVED101,UNR.CUAD.AVED101,34509998,38,36,395.6,15032.8,14241.6,,
A03194441,BBVA3936 AGS JOSE MA CHAVEZ,70122089,Facturado,gp@vsys.com,27/05/2019,34509999,UNC.CUAD.AVED100,UNR.CUAD.AVED100,34510000,1,1,378.6,378.6,378.6,,
A03190007,BBVA 0580 ACAPULCO CONVENCIONES,71582564,Facturado,gp@vsys.com,03/06/2019,34353865,UNC.CUAD.AVED101,UNR.CUAD.AVED101,34353866,66,57,395.6,26109.6,22549.2,,
A03194443,BBVA 5953 ZACATECAS OFNA PRINCIPAL,70122109,Facturado,gp@vsys.com,03/06/2019,34510179,UNC.CUAD.AVED101,UNR.CUAD.AVED101,34510180,33,33,395.6,13054.8,13054.8,,
A03194437,BBVA 6612 CD JUAREZ HNOS ESCOBAR,70122128,Facturado,gp@vsys.com,16/06/2019,34511929,UNC.CUAD.AVED101,UNR.CUAD.AVED101,34511930,11,11,395.6,4351.6,4351.6,,
