folio,clientName,siteNumber,phase,user,startDate,partId,sku,unr,unrId,qty,fac_qty,unitaryPrice,Adjusted income (TOTAL),rent,,period
A03191122,OCESA ESTADIO DE LOS DIABLOS ROJOS DEL MÉXICO,71795284,Facturado,gp@vsys.com,4/12/2019,34400463,UNC.CUAD.AV.901,UNR.CUAD.AV.901,34400464,145,130,125.88,18252.6,16364.4,,1/2/2021
A03191122,OCESA ESTADIO DE LOS DIABLOS ROJOS DEL MÉXICO,71795284,Facturado,gp@vsys.com,4/12/2019,34400465,UNC.CUAD.AV.902,UNR.CUAD.AV.902,34400472,6,6,159.77,958.62,958.62,,
A03191122,OCESA ESTADIO DE LOS DIABLOS ROJOS DEL MÉXICO,71795284,Facturado,gp@vsys.com,4/12/2019,34400479,UNC.CUAD.AV.903,UNR.CUAD.AV.903,34400480,1,1,455,455,455,,
A12190207,"EMBOTELLADORA LAS MARGARITAS S A P I DE
CV EMB LAS MARGARITAS ACTOPAN",70143303,Facturado,gp@vsys.com,2/20/2020,36763144,UNC.CUAD.AV.903,UNR.CUAD.AV.903,36763145,1,1,455,455,455,,
A12190207,"EMBOTELLADORA LAS MARGARITAS S A P I DE
CV EMB LAS MARGARITAS ACTOPAN",70143303,Facturado,gp@vsys.com,2/20/2020,36763160,UNC.CUAD.AV.902B,UNR.CUAD.AV.902B,36763167,6,6,159.77,958.62,958.62,,
A11190038,"EMBOTELLADORA LAS MARGARITAS S A P I DE
CV EMB LAS MARGARITAS IXMIQUILPAN",70143304,Facturado,gp@vsys.com,2/19/2020,36673222,UNC.CUAD.AV.902B,UNR.CUAD.AV.902B,36673229,6,6,159.77,958.62,958.62,,
A11190038,"EMBOTELLADORA LAS MARGARITAS S A P I DE
CV EMB LAS MARGARITAS IXMIQUILPAN",70143304,Facturado,gp@vsys.com,2/19/2020,36673236,UNC.CUAD.AV.903,UNR.CUAD.AV.903,36673237,1,1,455,455,455,,
A12190242,"EMBOTELLADORA LAS MARGARITAS S A P I DE
CV  EMB LAS MARGARITAS ZACUALTIPAN II",71312251,Facturado,gp@vsys.com,3/25/2020,36769463,UNC.CUAD.AV.902B,UNR.CUAD.AV.902B,36769470,6,6,159.77,958.62,958.62,,
A12190242,"EMBOTELLADORA LAS MARGARITAS S A P I DE
CV EMB LAS MARGARITAS ZACUALTIPAN II",71312251,Facturado,gp@vsys.com,3/25/2020,36769477,UNC.CUAD.AV.903,UNR.CUAD.AV.903,36769478,1,1,455,455,455,,
A01200462,"EMBOTELLADORA LAS MARGARITAS S A P I DE
CV EMB LAS MARGARITAS TULANCINGO",70143299,Facturado,gp@vsys.com,2/26/2020,36911042,UNC.CUAD.AV.902B,UNR.CUAD.AV.902B,36911058,15,15,159.77,2396.55,2396.55,,
A01200462,"EMBOTELLADORA LAS MARGARITAS S A P I DE
CV EMB LAS MARGARITAS TULANCINGO",70143299,Facturado,gp@vsys.com,2/26/2020,36911065,UNC.CUAD.AV.903,UNR.CUAD.AV.903,36911066,1,1,455,455,455,,
A01200464,"EMBOTELLADORA LAS MARGARITAS S A P I DE
CV ZACATLAN",71430006,Facturado,gp@vsys.com,3/4/2020,36911217,UNC.CUAD.AV.902B,UNR.CUAD.AV.902B,36911224,6,6,159.77,958.62,958.62,,
A01200464,"EMBOTELLADORA LAS MARGARITAS S A P I DE
CV ZACATLAN",71430006,Facturado,gp@vsys.com,3/4/2020,36911231,UNC.CUAD.AV.903,UNR.CUAD.AV.903,36911232,1,1,455,455,455,,
