folio,clientName,siteNumber,phase,user,startDate,partId,sku,unr,unrId,qty,fac_qty,unitaryPrice,Adjusted income (TOTAL),rent,,period
A12180322,404 EDIF REGIONAL GDL,70122065,Facturado,gp@vsys.com,2/18/2019,33755277,UNC.CUAD.AVED101,UNR.CUAD.AVED101,33755278,322,322,395.6,127383.2,127383.2,,1/11/2019
A12180322,404 EDIF REGIONAL GDL,70122065,Facturado,gp@vsys.com,2/18/2019,33755279,UNC.CUAD.AVED100,UNR.CUAD.AVED100,33755280,4,4,378.6,1514.4,1514.4,,
A12180169,5581 PACHUCA OFNA PRINCIPAL,70115707,Facturado,gp@vsys.com,3/11/2019,33742560,UNC.CUAD.AVED101,UNR.CUAD.AVED101,33742561,141,131,395.6,55779.6,51823.6,,
A12180169,5581 PACHUCA OFNA PRINCIPAL,70115707,Facturado,gp@vsys.com,3/11/2019,33742562,UNC.CUAD.AVED100,UNR.CUAD.AVED100,33742563,2,2,378.6,757.2,757.2,,
A02191298,EDIFICIO MERIDA BLACK,71651362,Facturado,gp@vsys.com,3/25/2019,34306772,UNC.CUAD.AVED101,UNR.CUAD.AVED101,34306773,241,171,395.6,95339.6,67647.6,,
A12180315,211 (4474) MONTERREY PADRE MIER,70114293,Facturado,gp@vsys.com,4/15/2019,33754814,UNC.CUAD.AVED101,UNR.CUAD.AVED101,33754815,194,194,395.6,76746.4,76746.4,,
A12180315,211 (4474) MONTERREY PADRE MIER,70114293,Facturado,gp@vsys.com,4/15/2019,33754816,UNC.CUAD.AVED100,UNR.CUAD.AVED100,33754817,6,5,378.6,2271.6,1893,,
A04195593,211 (4474) MONTERREY PADRE MIER,70114293,Facturado,gp@vsys.com,4/15/2019,34889593,UNC.CUAD.AVED101,UNR.CUAD.AVED101,34889594,36,36,395.6,14241.6,14241.6,,
A12180373,1010 GUADALAJARA TERRANOVA,70122116,Facturado,gp@vsys.com,4/29/2019,33757555,UNC.CUAD.AVED101,UNR.CUAD.AVED101,33757556,152,108,395.6,60131.2,42724.8,,
A12180373,1010 GUADALAJARA TERRANOVA,70122116,Facturado,gp@vsys.com,4/29/2019,33757557,UNC.CUAD.AVED100,UNR.CUAD.AVED100,33757558,3,3,378.6,1135.8,1135.8,,
A03194441,BBVA 3936 AGS JOSE MA CHAVEZ,70122089,Facturado,gp@vsys.com,5/27/2019,34509997,UNC.CUAD.AVED101,UNR.CUAD.AVED101,34509998,38,36,395.6,15032.8,14241.6,,
A03194441,BBVA3936 AGS JOSE MA CHAVEZ,70122089,Facturado,gp@vsys.com,5/27/2019,34509999,UNC.CUAD.AVED100,UNR.CUAD.AVED100,34510000,1,1,378.6,378.6,378.6,,
A03190007,BBVA 0580 ACAPULCO CONVENCIONES,71582564,Facturado,gp@vsys.com,6/3/2019,34353865,UNC.CUAD.AVED101,UNR.CUAD.AVED101,34353866,66,57,395.6,26109.6,22549.2,,
A03194443,BBVA 5953 ZACATECAS OFNA PRINCIPAL,70122109,Facturado,gp@vsys.com,6/3/2019,34510179,UNC.CUAD.AVED101,UNR.CUAD.AVED101,34510180,33,33,395.6,13054.8,13054.8,,
A03194437,BBVA 6612 CD JUAREZ HNOS ESCOBAR,70122128,Facturado,gp@vsys.com,6/16/2019,34511929,UNC.CUAD.AVED101,UNR.CUAD.AVED101,34511930,11,11,395.6,4351.6,4351.6,,
A03194436,BBVA 555 TUXPAN JUAREZ,70122097,Facturado,gp@vsys.com,6/23/2019,34511859,UNC.CUAD.AVED101,UNR.CUAD.AVED101,34511860,32,24,395.6,12659.2,9494.4,,
A03194433,BBVA 857 VHS OFICINA PRINCIPAL,70122074,Facturado,gp@vsys.com,6/23/2019,34511817,UNC.CUAD.AVED101,UNR.CUAD.AVED101,34511818,19,17,395.6,7516.4,6725.2,,
A03194439,BBVA 5983 TORREON ALAMEDA,70122071,Facturado,gp@vsys.com,7/1/2019,34509921,UNC.CUAD.AVED101,UNR.CUAD.AVED101,34509922,35,35,395.6,13846,13846,,
A06190427,BBVA 6549 TOLUCA OFNA PRINCIPAL,70115544,Facturado,gp@vsys.com,8/12/2019,35705274,UNC.CUAD.AVED101,UNR.CUAD.AVED101,35705275,43,43,395.6,17010.8,17010.8,,
A08190250,BBVA 6549 TOLUCA OFNA PRINCIPAL,70115544,Facturado,gp@vsys.com,8/12/2019,36031159,UNC.CUAD.AVED101,UNR.CUAD.AVED101,36031160,14,9,395.6,5538.4,3560.4,,
A06190439,BBVA 550 COATZACOALCOS JUAREZ,70122104,Facturado,gp@vsys.com,8/16/2019,35706101,UNC.CUAD.AVED101,UNR.CUAD.AVED101,35706102,32,32,395.6,12659.2,12659.2,,
A08191338,BBVA 550 COATZACOALCOS JUAREZ,70122104,Facturado,gp@vsys.com,8/16/2019,36063912,UNC.CUAD.AVED101,UNR.CUAD.AVED101,36063913,1,1,395.6,395.6,395.6,,
A08191338,BBVA 550 COATZACOALCOS JUAREZ,70122104,Facturado,gp@vsys.com,8/16/2019,36063914,UNC.CUAD.AVED101,UNR.CUAD.AVED101,36063915,12,12,395.6,4747.2,4747.2,,
A06190436,BBVA 641 CD OBREGON OFNA PRINCIPAL,70122079,Facturado,gp@vsys.com,8/23/2019,35705767,UNC.CUAD.AVED101,UNR.CUAD.AVED101,35705768,53,52,395.6,20966.8,20571.2,,
A06190431,BBVA 5870 TAMPICO HIDALGO,70122072,Facturado,gp@vsys.com,8/23/2019,35705499,UNC.CUAD.AVED101,UNR.CUAD.AVED101,35705500,71,63,395.6,28087.6,24922.8,,
A06190448,BBVA 5764 CANCUN OFNA PRINCIPAL,70122108,Facturado,gp@vsys.com,8/31/2019,35706179,UNC.CUAD.AVED101,UNR.CUAD.AVED101,35706180,68,66,395.6,26900.8,26109.6,,
A06190428,BBVA 6700 TUXTLA OFNA PRINCIPAL,70115427,Facturado,gp@vsys.com,8/31/2019,35705272,UNC.CUAD.AVED101,UNR.CUAD.AVED101,35705273,85,72,395.6,33626,28483.2,,
A06190434,BBVA 517 VERACRUZ INDEPENDENCIA,70122075,Facturado,gp@vsys.com,9/7/2019,35705646,UNC.CUAD.AVED101,UNR.CUAD.AVED101,35705647,59,53,395.6,23340.4,20966.8,,
A06190438,BBVA 5313 LA PAZ OFNA PRINCIPAL,70122102,Facturado,gp@vsys.com,9/9/2019,35706099,UNC.CUAD.AVED101,UNR.CUAD.AVED101,35706100,2,2,395.6,791.2,791.2,,
A06190441,BBVA 5313 LA PAZ OFNA PRINCIPAL,70122102,Facturado,gp@vsys.com,9/9/2019,35706088,UNC.CUAD.AVED101,UNR.CUAD.AVED101,35706089,44,44,395.6,17406.4,17406.4,,
A09190233,BBVA 5313 LA PAZ OFNA PRINCIPAL,70122102,Facturado,gp@vsys.com,9/9/2019,36147815,UNC.CUAD.AVED101,UNR.CUAD.AVED101,36147816,3,3,395.6,1186.8,1186.8,,
A06190442,BBVA 701 BBVA BANCOMER MATAMOROS,70122083,Facturado,gp@vsys.com,9/21/2019,35705779,UNC.CUAD.AVED101,UNR.CUAD.AVED101,35705780,36,29,395.6,14241.6,11472.4,,
A06190445,BBVA 913 TEPIC CENTRO,70122098,Facturado,gp@vsys.com,9/21/2019,35705863,UNC.CUAD.AVED101,UNR.CUAD.AVED101,35705864,63,63,395.6,24922.8,24922.8,,
A08190250,BBVA 6549 TOLUCA OFNA PRINCIPAL,70115544,Facturado,gp@vsys.com,9/9/2019,36031159,UNC.CUAD.AVED101,UNR.CUAD.AVED101,36031160,14,1,395.6,5538.4,395.6,,
A03194442,BBVA 5882 TLAXCALA OFNA PRINCIPAL,70122095,Facturado,gp@vsys.com,10/6/2019,34510081,UNC.CUAD.AVED101,UNR.CUAD.AVED101,34510082,46,46,395.6,18197.6,18197.6,,
A03194442,BBVA 5882 TLAXCALA OFNA PRINCIPAL,70122095,Facturado,gp@vsys.com,10/6/2019,34510083,UNC.CUAD.AVED100,UNR.CUAD.AVED100,34510084,1,1,378.6,378.6,378.6,,
A10190622,BBVA 5882 TLAXCALA OFNA PRINCIPAL,70122095,Facturado,gp@vsys.com,10/6/2019,36414702,UNC.CUAD.AVED101,UNR.CUAD.AVED101,36414703,7,7,395.6,2769.2,2769.2,,
A07191088,BBVA 3915 CUERNAVACA PLAN DE AYALA,70122076,Facturado,gp@vsys.com,10/6/2019,35854562,UNC.CUAD.AVED100,UNR.CUAD.AVED100,35854563,5,3,378.6,1893,1135.8,,
A07191086,BBVA 3915 CUERNAVACA PLAN DE AYALA,70122076,Facturado,gp@vsys.com,10/6/2019,35854378,UNC.CUAD.AVED101,UNR.CUAD.AVED101,35854379,94,3,395.6,37186.4,1186.8,,
A08190241,BBVA 3915 CUERNAVACA PLAN DE AYALA,70122076,Facturado,gp@vsys.com,10/6/2019,36030305,UNC.CUAD.AVED101,UNR.CUAD.AVED101,36030306,58,58,395.6,22944.8,22944.8,,
A10190103,BBVA 3915 CUERNAVACA PLAN DE AYALA,70122076,Facturado,gp@vsys.com,10/6/2019,36363470,UNC.CUAD.AVED101,UNR.CUAD.AVED101,36363471,5,5,395.6,1978,1978,,
A08191118,BBVA 544 TAPACHULA OFNA PRINCIPAL,70122105,Facturado,gp@vsys.com,10/27/2019,36055658,UNC.CUAD.AVED101,UNR.CUAD.AVED101,36055659,38,38,395.6,15032.8,15032.8,,
A08191118,BBVA 544 TAPACHULA OFNA PRINCIPAL,70122105,Facturado,gp@vsys.com,10/27/2019,36055663,UNC.CUAD.AVED100,UNR.CUAD.AVED100,36055664,11,2,378.6,4164.6,757.2,,
A08191141,BBVA 703 CD REYNOSA OFNA PRINCIPAL,70122086,Facturado,gp@vsys.com,10/27/2019,36056267,UNC.CUAD.AVED101,UNR.CUAD.AVED101,36056268,52,48,395.6,20571.2,18988.8,,
A08191406,BBVA 5581 PACHUCA OFNA PRINCIPAL,70115707,Facturado,gp@vsys.com,10/7/2019,36067726,UNC.CUAD.AVED101,UNR.CUAD.AVED101,36067727,1,1,395.6,395.6,395.6,,
A08191402,BBVA E4474 MONTERREY PADRE MIER,70114293,Facturado,gp@vsys.com,10/30/2019,36067714,UNC.CUAD.AVED101,UNR.CUAD.AVED101,36067715,4,4,395.6,1582.4,1582.4,,
