folio,clientName,siteNumber,phase,user,startDate,partId,sku,unr,unrId,qty,fac_qty,unitaryPrice,Adjusted income (TOTAL),rent,,period
A12160521,"AUTOTRANSPORTES DE PASAJEROS MEXICOTOLUCA-
SAN LUIS MEXTEPEC-QUERETARO
FLECHA ROJA TALLER PONIENTE",71335739,Facturado,gp@vsys.com,19/01/2017,30886386,UNC.CUAD.BS.104,UNR.CUAD.BS.104,30886387,6,5,199.85,1199.1,999.25,,01/02/2020
A12160521,"AUTOTRANSPORTES DE PASAJEROS MEXICOTOLUCA-
SAN LUIS MEXTEPEC-QUERETARO
FLECHA ROJA TALLER PONIENTE",71335739,Facturado,gp@vsys.com,19/01/2017,30886338,UNC.CUAD.BS.102,UNR.CUAD.BS.102,30886339,15,15,137.1,2056.5,2056.5,,
A12160521,"AUTOTRANSPORTES DE PASAJEROS MEXICOTOLUCA-
SAN LUIS MEXTEPEC-QUERETARO
FLECHA ROJA TALLER PONIENTE",71335739,Facturado,gp@vsys.com,19/01/2017,30886336,UNC.CUAD.BS.201,UNR.CUAD.BS.201,30886337,1,1,51.3,51.3,51.3,,
A12160521,"AUTOTRANSPORTES DE PASAJEROS MEXICOTOLUCA-
SAN LUIS MEXTEPEC-QUERETARO
FLECHA ROJA TALLER PONIENTE",71335739,Facturado,gp@vsys.com,19/01/2017,30886371,UNC.CUAD.BS.901,UNR.CUAD.BS.901,30886372,21,20,17.1,359.1,342,,
A12160372,"AUTOTRANSPORTES VALLE DEL MEZQUITAL
S.A. DE C.V. AVM 100 MTS",71607325,Facturado,gp@vsys.com,02/01/2017,30860109,UNC.CUAD.BS.101,UNR.CUAD.BS.101,30860110,7,7,121.13,847.91,847.91,,
A12160372,"AUTOTRANSPORTES VALLE DEL MEZQUITAL
S.A. DE C.V. AVM 100 MTS",71607325,Facturado,gp@vsys.com,02/01/2017,30860105,UNC.CUAD.BS.103,UNR.CUAD.BS.103,30860106,2,2,165.73,331.46,331.46,,
A12160372,"AUTOTRANSPORTES VALLE DEL MEZQUITAL
S.A. DE C.V. AVM 100 MTS",71607325,Facturado,gp@vsys.com,02/01/2017,30860080,UNC.CUAD.BS.203,UNR.CUAD.BS.203,30860081,9,9,7.2,64.8,64.8,,
A12160372,"AUTOTRANSPORTES VALLE DEL MEZQUITAL
S.A. DE C.V. AVM 100 MTS",71607325,Facturado,gp@vsys.com,02/01/2017,30860107,UNC.CUAD.BS.201,UNR.CUAD.BS.201,30860108,9,9,51.3,461.7,461.7,,
A12160372,"AUTOTRANSPORTES VALLE DEL MEZQUITAL
S.A. DE C.V. AVM 100 MTS",71607325,Facturado,gp@vsys.com,02/01/2017,30860082,UNC.CUAD.BS.902,UNR.CUAD.BS.902,30860083,1,1,647.1,647.1,647.1,,
A02150180,BUFETE ROBLES MIAJA S.V. BUFETE ROBLES CUAJIMALPA,71447767,Facturado,gp@vsys.com,10/10/2016,27931276,UNC.CUAD.BS.104,UNR.CUAD.BS.104,27931277,30,27,199.85,5995.5,5395.95,,
A02150180,BUFETE ROBLES MIAJA S.V. BUFETE ROBLES CUAJIMALPA,71447767,Facturado,gp@vsys.com,10/10/2016,27931232,UNC.CUAD.BS.201,UNR.CUAD.BS.201,27931233,1,1,51.3,51.3,51.3,,
A02150180,BUFETE ROBLES MIAJA S.V. BUFETE ROBLES CUAJIMALPA,71447767,Facturado,gp@vsys.com,10/10/2016,27931234,UNC.CUAD.BS.202,UNR.CUAD.BS.202,27931235,1,1,522,522,522,,
A04150055,BUFETE ROBLES MIAJA S.V. BUFETE ROBLES CUAJIMALPA,71447767,Facturado,gp@vsys.com,10/10/2016,28031924,UNC.CUAD.BS.103,UNR.CUAD.BS.103,28031925,6,6,165.73,994.38,994.38,,
A04150055,BUFETE ROBLES MIAJA S.V. BUFETE ROBLES CUAJIMALPA,71447767,Facturado,gp@vsys.com,10/10/2016,28031926,UNC.CUAD.BS.901,UNR.CUAD.BS.901,28031927,33,33,17.1,564.3,564.3,,
A04150055,BUFETE ROBLES MIAJA S.V. BUFETE ROBLES CUAJIMALPA,71447767,Facturado,gp@vsys.com,10/10/2016,28031928,UNC.CUAD.BS.902,UNR.CUAD.BS.902,28031929,1,1,647.1,647.1,647.1,,
A06181870,CECOBAN S.A. DE C.V. CORP CONSTITUYENTES,71382589,Facturado,gp@vsys.com,29/09/2018,33039023,UNC.CUAD.BS.101,UNR.CUAD.BS.101,33039024,63,43,121.46,7651.98,5222.78,,
A06181870,CECOBAN S.A. DE C.V. CORP CONSTITUYENTES,71382589,Facturado,gp@vsys.com,29/09/2018,33039025,UNC.CUAD.BS.104,UNR.CUAD.BS.104,33039026,38,38,167.67,6371.46,6371.46,,
A06181870,CECOBAN S.A. DE C.V. CORP CONSTITUYENTES,71382589,Facturado,gp@vsys.com,29/09/2018,33039027,UNC.CUAD.BS.203,UNR.CUAD.BS.203,33039028,5,2,7.2,36,14.4,,
A06181870,CECOBAN S.A. DE C.V. CORP CONSTITUYENTES,71382589,Facturado,gp@vsys.com,29/09/2018,33039029,UNC.CUAD.BS.901,UNR.CUAD.BS.901,33039030,101,81,17.1,1727.1,1385.1,,
A06181870,CECOBAN S.A. DE C.V. CORP CONSTITUYENTES,71382589,Facturado,gp@vsys.com,29/09/2018,33039153,UNC.CUAD.BS.902,UNR.CUAD.BS.902,33039154,1,1,647.1,647.1,647.1,,
A02191210,CECOBAN S.A. DE C.V. CORP CONSTITUYENTES,71382589,Facturado,gp@vsys.com,12/03/2019 ,34271620,UNC.CUAD.BS.101,UNR.CUAD.BS.101,34271621,5,5,121.46,607.3,607.3,,
A02191210,CECOBAN S.A. DE C.V. CORP CONSTITUYENTES,71382589,Facturado,gp@vsys.com,12/03/2019 ,34271622,UNC.CUAD.BS.104,UNR.CUAD.BS.104,34271623,20,20,167.67,3353.4,3353.4,,
A02191210,CECOBAN S.A. DE C.V. CORP CONSTITUYENTES,71382589,Facturado,gp@vsys.com,12/03/2019 ,34271624,UNC.CUAD.BS.901,UNR.CUAD.BS.901,34271625,25,25,17.1,427.5,427.5,,
A08190173,CECOBAN S.A. DE C.V. CORP CONSTITUYENTES,71382589,Facturado,gp@vsys.com,23/08/2019,36026624,UNC.CUAD.BS.101,UNR.CUAD.BS.101,36026625,5,5,121.46,607.3,607.3,,
A08190173,CECOBAN S.A. DE C.V. CORP CONSTITUYENTES,71382589,Facturado,gp@vsys.com,23/08/2019,36026626,UNC.CUAD.BS.104,UNR.CUAD.BS.104,36026627,3,3,167.67,503.01,503.01,,
A06181870,CECOBAN S.A. DE C.V. CORP CONSTITUYENTES,71382589,Facturado,gp@vsys.com,21/10/2019,33039023,UNC.CUAD.BS.101,UNR.CUAD.BS.101,33039024,63,1,121.46,7651.98,121.46,,
A06181870,CECOBAN S.A. DE C.V. CORP CONSTITUYENTES,71382589,Facturado,gp@vsys.com,21/10/2019,33039029,UNC.CUAD.BS.901,UNR.CUAD.BS.901,33039030,101,1,17.1,1727.1,17.1,,
A10170565,CARRIER ENTERPRISE MEXICO S DE RL DE CV CARRIER GUADALAJARA,71378675,Facturado,gp@vsys.com,26/07/2018,32150267,UNC.CUAD60.BS.104,UNR.CUAD60.BS.104,32150268,5,5,223.45,1117.25,1117.25,,
A10170565,CARRIER ENTERPRISE MEXICO S DE RL DE CV CARRIER GUADALAJARA,71378675,Facturado,gp@vsys.com,26/07/2018,32150269,UNC.CUAD60.BS.201,UNR.CUAD60.BS.201,32150270,1,1,41.95,41.95,41.95,,
A10170565,CARRIER ENTERPRISE MEXICO S DE RL DE CV CARRIER GUADALAJARA,71378675,Facturado,gp@vsys.com,26/07/2018,32150271,UNC.CUAD60.BS.901,UNR.CUAD60.BS.901,32150272,5,5,12,60,60,,
A10170565,CARRIER ENTERPRISE MEXICO S DE RL DE CV CARRIER GUADALAJARA,71378675,Facturado,gp@vsys.com,26/07/2018,32150273,UNC.CUAD60.BS.902,UNR.CUAD60.BS.902,32150274,1,1,455,455,455,,
A10170568,CARRIER ENTERPRISE MEXICO S DE RL DE CV HERMOSILLO TIENDA,71615732,Facturado,gp@vsys.com,11/07/2018,32150290,UNC.CUAD60.BS.901,UNR.CUAD60.BS.901,32150291,7,7,12,84,84,,
A10170568,CARRIER ENTERPRISE MEXICO S DE RL DE CV HERMOSILLO TIENDA,71615732,Facturado,gp@vsys.com,11/07/2018,32150292,UNC.CUAD60.BS.104,UNR.CUAD60.BS.104,32150293,7,7,223.45,1564.15,1564.15,,
A10170568,CARRIER ENTERPRISE MEXICO S DE RL DE CV HERMOSILLO TIENDA,71615732,Facturado,gp@vsys.com,11/07/2018,32150294,UNC.CUAD60.BS.201,UNR.CUAD60.BS.201,32150295,1,1,41.95,41.95,41.95,,
A10170568,CARRIER ENTERPRISE MEXICO S DE RL DE CV HERMOSILLO TIENDA,71615732,Facturado,gp@vsys.com,11/07/2018,32150302,UNC.CUAD60.BS.902,UNR.CUAD60.BS.902,32150303,1,1,455,455,455,,
A10170567,CARRIER ENTERPRISE MEXICO S DE RL DE CV PARQUE INDUSTRIAL NOGALES ZAPOPAN,71620839,Facturado,gp@vsys.com,25/07/2018,32150519,UNC.CUAD60.BS.104,UNR.CUAD60.BS.104,32150520,12,12,223.45,2681.4,2681.4,,
A10170567,CARRIER ENTERPRISE MEXICO S DE RL DE CV PARQUE INDUSTRIAL NOGALES ZAPOPAN,71620839,Facturado,gp@vsys.com,25/07/2018,32150521,UNC.CUAD60.BS.201,UNR.CUAD60.BS.201,32150522,1,1,41.95,41.95,41.95,,
A10170567,CARRIER ENTERPRISE MEXICO S DE RL DE CV PARQUE INDUSTRIAL NOGALES ZAPOPAN,71620839,Facturado,gp@vsys.com,25/07/2018,32150523,UNC.CUAD60.BS.901,UNR.CUAD60.BS.901,32150524,12,12,12,144,144,,
A10170567,CARRIER ENTERPRISE MEXICO S DE RL DE CV PARQUE INDUSTRIAL NOGALES ZAPOPAN,71620839,Facturado,gp@vsys.com,25/07/2018,32150549,UNC.CUAD60.BS.902,UNR.CUAD60.BS.902,32150550,1,1,455,455,455,,
A10170571,CARRIER ENTERPRISE MEXICO S DE RL DE CV CANCUN TIENDA,71615749,Facturado,gp@vsys.com,26/07/2018,32150357,UNC.CUAD60.BS.104,UNR.CUAD60.BS.104,32150358,10,10,223.45,2234.5,2234.5,,
A10170571,CARRIER ENTERPRISE MEXICO S DE RL DE CV CANCUN TIENDA,71615749,Facturado,gp@vsys.com,26/07/2018,32150359,UNC.CUAD60.BS.201,UNR.CUAD60.BS.201,32150360,1,1,41.95,41.95,41.95,,
A10170571,CARRIER ENTERPRISE MEXICO S DE RL DE CV CANCUN TIENDA,71615749,Facturado,gp@vsys.com,26/07/2018,32150361,UNC.CUAD60.BS.901,UNR.CUAD60.BS.901,32150362,10,10,12,120,120,,
A10170571,CARRIER ENTERPRISE MEXICO S DE RL DE CV CANCUN TIENDA,71615749,Facturado,gp@vsys.com,26/07/2018,32150371,UNC.CUAD60.BS.902,UNR.CUAD60.BS.902,32150372,1,1,455,455,455,,
A10170574,CARRIER ENTERPRISE MEXICO S DE RL DE CV HERMOSILLO BODEGA,71615735,Facturado,gp@vsys.com,11/07/2018,32150315,UNC.CUAD60.BS.104,UNR.CUAD60.BS.104,32150316,1,1,223.45,223.45,223.45,,
A10170574,CARRIER ENTERPRISE MEXICO S DE RL DE CV HERMOSILLO BODEGA,71615735,Facturado,gp@vsys.com,11/07/2018,32150317,UNC.CUAD60.BS.901,UNR.CUAD60.BS.901,32150318,1,1,12,12,12,,
A10170577,CARRIER ENTERPRISE MEXICO S DE RL DE CV CANCUN BODEGA,71615754,Facturado,gp@vsys.com,11/07/2018,32150387,UNC.CUAD60.BS.104,UNR.CUAD60.BS.104,32150388,1,1,223.45,223.45,223.45,,
A10170577,CARRIER ENTERPRISE MEXICO S DE RL DE CV CANCUN BODEGA,71615754,Facturado,gp@vsys.com,11/07/2018,32150389,UNC.CUAD60.BS.901,UNR.CUAD60.BS.901,32150390,1,1,12,12,12,,
A10170578,CARRIER ENTERPRISE MEXICO S DE RL DE CV MERIDA TIENDA,71615759,Facturado,gp@vsys.com,11/07/2018,32150397,UNC.CUAD60.BS.104,UNR.CUAD60.BS.104,32150398,6,6,223.45,1340.7,1340.7,,
A10170578,CARRIER ENTERPRISE MEXICO S DE RL DE CV MERIDA TIENDA,71615759,Facturado,gp@vsys.com,11/07/2018,32150399,UNC.CUAD60.BS.201,UNR.CUAD60.BS.201,32150400,1,1,41.95,41.95,41.95,,
