folio,clientName,siteNumber,phase,user,startDate,partId,sku,unr,unrId,qty,fac_qty,unitaryPrice,Adjusted income (TOTAL),rent,,period
A12160521,"AUTOTRANSPORTES DE PASAJEROS MEXICOTOLUCA-
SAN LUIS MEXTEPEC-QUERETARO
FLECHA ROJA TALLER PONIENTE",71335739,Facturado,gp@vsys.com,1/19/2017,30886386,UNC.CUAD.BS.104,UNR.CUAD.BS.104,30886387,6,5,199.85,1199.1,999.25,,1/3/2021
A02150180,BUFETE ROBLES MIAJA S.V. BUFETE ROBLES CUAJIMALPA,71447767,Facturado,gp@vsys.com,10/10/2016,27931276,UNC.CUAD.BS.104,UNR.CUAD.BS.104,27931277,30,27,199.85,5995.5,5395.95,,
A02150180,BUFETE ROBLES MIAJA S.V. BUFETE ROBLES CUAJIMALPA,71447767,Facturado,gp@vsys.com,10/10/2016,27931232,UNC.CUAD.BS.201,UNR.CUAD.BS.201,27931233,1,1,51.3,51.3,51.3,,
A02150180,BUFETE ROBLES MIAJA S.V. BUFETE ROBLES CUAJIMALPA,71447767,Facturado,gp@vsys.com,10/10/2016,27931234,UNC.CUAD.BS.202,UNR.CUAD.BS.202,27931235,1,1,522,522,522,,
A04150055,BUFETE ROBLES MIAJA S.V. BUFETE ROBLES CUAJIMALPA,71447767,Facturado,gp@vsys.com,10/10/2016,28031924,UNC.CUAD.BS.103,UNR.CUAD.BS.103,28031925,6,6,165.73,994.38,994.38,,
A04150055,BUFETE ROBLES MIAJA S.V. BUFETE ROBLES CUAJIMALPA,71447767,Facturado,gp@vsys.com,10/10/2016,28031926,UNC.CUAD.BS.901,UNR.CUAD.BS.901,28031927,33,33,17.1,564.3,564.3,,
A04150055,BUFETE ROBLES MIAJA S.V. BUFETE ROBLES CUAJIMALPA,71447767,Facturado,gp@vsys.com,10/10/2016,28031928,UNC.CUAD.BS.902,UNR.CUAD.BS.902,28031929,1,1,647.1,647.1,647.1,,
A06181870,CECOBAN S.A. DE C.V. CORP CONSTITUYENTES,71382589,Facturado,gp@vsys.com,9/29/2018,33039023,UNC.CUAD.BS.101,UNR.CUAD.BS.101,33039024,63,43,121.46,7651.98,5222.78,,
A06181870,CECOBAN S.A. DE C.V. CORP CONSTITUYENTES,71382589,Facturado,gp@vsys.com,9/29/2018,33039025,UNC.CUAD.BS.104,UNR.CUAD.BS.104,33039026,38,38,167.67,6371.46,6371.46,,
A06181870,CECOBAN S.A. DE C.V. CORP CONSTITUYENTES,71382589,Facturado,gp@vsys.com,9/29/2018,33039027,UNC.CUAD.BS.203,UNR.CUAD.BS.203,33039028,5,2,7.2,36,14.4,,
A06181870,CECOBAN S.A. DE C.V. CORP CONSTITUYENTES,71382589,Facturado,gp@vsys.com,9/29/2018,33039029,UNC.CUAD.BS.901,UNR.CUAD.BS.901,33039030,101,81,17.1,1727.1,1385.1,,
A06181870,CECOBAN S.A. DE C.V. CORP CONSTITUYENTES,71382589,Facturado,gp@vsys.com,9/29/2018,33039153,UNC.CUAD.BS.902,UNR.CUAD.BS.902,33039154,1,1,647.1,647.1,647.1,,
A02191210,CECOBAN S.A. DE C.V. CORP CONSTITUYENTES,71382589,Facturado,gp@vsys.com,12/03/2019 ,34271620,UNC.CUAD.BS.101,UNR.CUAD.BS.101,34271621,5,5,121.46,607.3,607.3,,
A02191210,CECOBAN S.A. DE C.V. CORP CONSTITUYENTES,71382589,Facturado,gp@vsys.com,12/03/2019 ,34271622,UNC.CUAD.BS.104,UNR.CUAD.BS.104,34271623,20,20,167.67,3353.4,3353.4,,
A02191210,CECOBAN S.A. DE C.V. CORP CONSTITUYENTES,71382589,Facturado,gp@vsys.com,12/03/2019 ,34271624,UNC.CUAD.BS.901,UNR.CUAD.BS.901,34271625,25,25,17.1,427.5,427.5,,
A08190173,CECOBAN S.A. DE C.V. CORP CONSTITUYENTES,71382589,Facturado,gp@vsys.com,8/23/2019,36026624,UNC.CUAD.BS.101,UNR.CUAD.BS.101,36026625,5,5,121.46,607.3,607.3,,
A08190173,CECOBAN S.A. DE C.V. CORP CONSTITUYENTES,71382589,Facturado,gp@vsys.com,8/23/2019,36026626,UNC.CUAD.BS.104,UNR.CUAD.BS.104,36026627,3,3,167.67,503.01,503.01,,
A06181870,CECOBAN S.A. DE C.V. CORP CONSTITUYENTES,71382589,Facturado,gp@vsys.com,10/21/2019,33039023,UNC.CUAD.BS.101,UNR.CUAD.BS.101,33039024,63,1,121.46,7651.98,121.46,,
A06181870,CECOBAN S.A. DE C.V. CORP CONSTITUYENTES,71382589,Facturado,gp@vsys.com,10/21/2019,33039029,UNC.CUAD.BS.901,UNR.CUAD.BS.901,33039030,101,1,17.1,1727.1,17.1,,
A10170565,CARRIER ENTERPRISE MEXICO S DE RL DE CV CARRIER GUADALAJARA,71378675,Facturado,gp@vsys.com,7/26/2018,32150267,UNC.CUAD60.BS.104,UNR.CUAD60.BS.104,32150268,5,5,223.45,1117.25,1117.25,,
A10170565,CARRIER ENTERPRISE MEXICO S DE RL DE CV CARRIER GUADALAJARA,71378675,Facturado,gp@vsys.com,7/26/2018,32150269,UNC.CUAD60.BS.201,UNR.CUAD60.BS.201,32150270,1,1,41.95,41.95,41.95,,
A10170565,CARRIER ENTERPRISE MEXICO S DE RL DE CV CARRIER GUADALAJARA,71378675,Facturado,gp@vsys.com,7/26/2018,32150271,UNC.CUAD60.BS.901,UNR.CUAD60.BS.901,32150272,5,5,12,60,60,,
A10170565,CARRIER ENTERPRISE MEXICO S DE RL DE CV CARRIER GUADALAJARA,71378675,Facturado,gp@vsys.com,7/26/2018,32150273,UNC.CUAD60.BS.902,UNR.CUAD60.BS.902,32150274,1,1,455,455,455,,
A10170568,CARRIER ENTERPRISE MEXICO S DE RL DE CV HERMOSILLO TIENDA,71615732,Facturado,gp@vsys.com,7/11/2018,32150290,UNC.CUAD60.BS.901,UNR.CUAD60.BS.901,32150291,7,7,12,84,84,,
A10170568,CARRIER ENTERPRISE MEXICO S DE RL DE CV HERMOSILLO TIENDA,71615732,Facturado,gp@vsys.com,7/11/2018,32150292,UNC.CUAD60.BS.104,UNR.CUAD60.BS.104,32150293,7,7,223.45,1564.15,1564.15,,
A10170568,CARRIER ENTERPRISE MEXICO S DE RL DE CV HERMOSILLO TIENDA,71615732,Facturado,gp@vsys.com,7/11/2018,32150294,UNC.CUAD60.BS.201,UNR.CUAD60.BS.201,32150295,1,1,41.95,41.95,41.95,,
A10170568,CARRIER ENTERPRISE MEXICO S DE RL DE CV HERMOSILLO TIENDA,71615732,Facturado,gp@vsys.com,7/11/2018,32150302,UNC.CUAD60.BS.902,UNR.CUAD60.BS.902,32150303,1,1,455,455,455,,
A10170567,CARRIER ENTERPRISE MEXICO S DE RL DE CV PARQUE INDUSTRIAL NOGALES ZAPOPAN,71620839,Facturado,gp@vsys.com,7/25/2018,32150519,UNC.CUAD60.BS.104,UNR.CUAD60.BS.104,32150520,12,12,223.45,2681.4,2681.4,,
A10170567,CARRIER ENTERPRISE MEXICO S DE RL DE CV PARQUE INDUSTRIAL NOGALES ZAPOPAN,71620839,Facturado,gp@vsys.com,7/25/2018,32150521,UNC.CUAD60.BS.201,UNR.CUAD60.BS.201,32150522,1,1,41.95,41.95,41.95,,
A10170567,CARRIER ENTERPRISE MEXICO S DE RL DE CV PARQUE INDUSTRIAL NOGALES ZAPOPAN,71620839,Facturado,gp@vsys.com,7/25/2018,32150523,UNC.CUAD60.BS.901,UNR.CUAD60.BS.901,32150524,12,12,12,144,144,,
A10170567,CARRIER ENTERPRISE MEXICO S DE RL DE CV PARQUE INDUSTRIAL NOGALES ZAPOPAN,71620839,Facturado,gp@vsys.com,7/25/2018,32150549,UNC.CUAD60.BS.902,UNR.CUAD60.BS.902,32150550,1,1,455,455,455,,
A10170571,CARRIER ENTERPRISE MEXICO S DE RL DE CV CANCUN TIENDA,71615749,Facturado,gp@vsys.com,7/26/2018,32150357,UNC.CUAD60.BS.104,UNR.CUAD60.BS.104,32150358,10,10,223.45,2234.5,2234.5,,
A10170571,CARRIER ENTERPRISE MEXICO S DE RL DE CV CANCUN TIENDA,71615749,Facturado,gp@vsys.com,7/26/2018,32150359,UNC.CUAD60.BS.201,UNR.CUAD60.BS.201,32150360,1,1,41.95,41.95,41.95,,
A10170571,CARRIER ENTERPRISE MEXICO S DE RL DE CV CANCUN TIENDA,71615749,Facturado,gp@vsys.com,7/26/2018,32150361,UNC.CUAD60.BS.901,UNR.CUAD60.BS.901,32150362,10,10,12,120,120,,
A10170571,CARRIER ENTERPRISE MEXICO S DE RL DE CV CANCUN TIENDA,71615749,Facturado,gp@vsys.com,7/26/2018,32150371,UNC.CUAD60.BS.902,UNR.CUAD60.BS.902,32150372,1,1,455,455,455,,
A10170574,CARRIER ENTERPRISE MEXICO S DE RL DE CV HERMOSILLO BODEGA,71615735,Facturado,gp@vsys.com,7/11/2018,32150315,UNC.CUAD60.BS.104,UNR.CUAD60.BS.104,32150316,1,1,223.45,223.45,223.45,,
A10170574,CARRIER ENTERPRISE MEXICO S DE RL DE CV HERMOSILLO BODEGA,71615735,Facturado,gp@vsys.com,7/11/2018,32150317,UNC.CUAD60.BS.901,UNR.CUAD60.BS.901,32150318,1,1,12,12,12,,
A10170577,CARRIER ENTERPRISE MEXICO S DE RL DE CV CANCUN BODEGA,71615754,Facturado,gp@vsys.com,7/11/2018,32150387,UNC.CUAD60.BS.104,UNR.CUAD60.BS.104,32150388,1,1,223.45,223.45,223.45,,
A10170577,CARRIER ENTERPRISE MEXICO S DE RL DE CV CANCUN BODEGA,71615754,Facturado,gp@vsys.com,7/11/2018,32150389,UNC.CUAD60.BS.901,UNR.CUAD60.BS.901,32150390,1,1,12,12,12,,
A10170578,CARRIER ENTERPRISE MEXICO S DE RL DE CV MERIDA TIENDA,71615759,Facturado,gp@vsys.com,7/11/2018,32150397,UNC.CUAD60.BS.104,UNR.CUAD60.BS.104,32150398,6,6,223.45,1340.7,1340.7,,
A10170578,CARRIER ENTERPRISE MEXICO S DE RL DE CV MERIDA TIENDA,71615759,Facturado,gp@vsys.com,7/11/2018,32150399,UNC.CUAD60.BS.201,UNR.CUAD60.BS.201,32150400,1,1,41.95,41.95,41.95,,
A10170578,CARRIER ENTERPRISE MEXICO S DE RL DE CV MERIDA TIENDA,71615759,Facturado,gp@vsys.com,7/11/2018,32150401,UNC.CUAD60.BS.901,UNR.CUAD60.BS.901,32150402,6,6,12,72,72,,
A10170578,CARRIER ENTERPRISE MEXICO S DE RL DE CV MERIDA TIENDA,71615759,Facturado,gp@vsys.com,7/11/2018,32150409,UNC.CUAD60.BS.902,UNR.CUAD60.BS.902,32150410,1,1,455,455,455,,
A01181708,CARRIER ENTERPRISE MEXICO S DE RL DE CV CARRIER MONTERREY,71378678,Facturado,gp@vsys.com,7/13/2018,32614408,UNC.CUAD60.BS.104,UNR.CUAD60.BS.104,32614409,9,9,223.45,2011.05,2011.05,,
A01181708,CARRIER ENTERPRISE MEXICO S DE RL DE CV CARRIER MONTERREY,71378678,Facturado,gp@vsys.com,7/13/2018,32614410,UNC.CUAD60.BS.201,UNR.CUAD60.BS.201,32614411,1,1,41.95,41.95,41.95,,
A01181708,CARRIER ENTERPRISE MEXICO S DE RL DE CV CARRIER MONTERREY,71378678,Facturado,gp@vsys.com,7/13/2018,32614412,UNC.CUAD60.BS.901,UNR.CUAD60.BS.901,32614413,9,9,12,108,108,,
A01181708,CARRIER ENTERPRISE MEXICO S DE RL DE CV CARRIER MONTERREY,71378678,Facturado,gp@vsys.com,7/13/2018,32614414,UNC.CUAD60.BS.902,UNR.CUAD60.BS.902,32614415,1,1,455,455,455,,
A01181709,CARRIER ENTERPRISE MEXICO S DE RL DE CV CARRIER TLALNEPANTLA,71378679,Facturado,gp@vsys.com,7/16/2018,32614437,UNC.CUAD60.BS.104,UNR.CUAD60.BS.104,32614438,9,9,223.45,2011.05,2011.05,,
A01181709,CARRIER ENTERPRISE MEXICO S DE RL DE CV CARRIER TLALNEPANTLA,71378679,Facturado,gp@vsys.com,7/16/2018,32614439,UNC.CUAD60.BS.201,UNR.CUAD60.BS.201,32614440,1,1,41.95,41.95,41.95,,
A01181709,CARRIER ENTERPRISE MEXICO S DE RL DE CV CARRIER TLALNEPANTLA,71378679,Facturado,gp@vsys.com,7/16/2018,32614441,UNC.CUAD60.BS.901,UNR.CUAD60.BS.901,32614442,9,9,12,108,108,,
A01181709,CARRIER ENTERPRISE MEXICO S DE RL DE CV CARRIER TLALNEPANTLA,71378679,Facturado,gp@vsys.com,7/16/2018,32614443,UNC.CUAD60.BS.902,UNR.CUAD60.BS.902,32614444,1,1,455,455,455,,
A01181714,CARRIER ENTERPRISE MEXICO S DE RL DE CV  CARRIER VERACRUZ,71389493,Facturado,gp@vsys.com,7/26/2018,32614638,UNC.CUAD60.BS.104,UNR.CUAD60.BS.104,32614639,8,8,223.45,1787.6,1787.6,,
A01181714,CARRIER ENTERPRISE MEXICO S DE RL DE CV  CARRIER VERACRUZ,71389493,Facturado,gp@vsys.com,7/26/2018,32614640,UNC.CUAD60.BS.201,UNR.CUAD60.BS.201,32614641,1,1,41.95,41.95,41.95,,
A01181714,CARRIER ENTERPRISE MEXICO S DE RL DE CV  CARRIER VERACRUZ,71389493,Facturado,gp@vsys.com,7/26/2018,32614642,UNC.CUAD60.BS.901,UNR.CUAD60.BS.901,32614643,8,8,12,96,96,,
A01181714,CARRIER ENTERPRISE MEXICO S DE RL DE CV  CARRIER VERACRUZ,71389493,Facturado,gp@vsys.com,7/26/2018,32614644,UNC.CUAD60.BS.902,UNR.CUAD60.BS.902,32614645,1,1,455,455,455,,
A01181713,CARRIER ENTERPRISE MEXICO S DE RL DE CV CARRIER APODACA PROLOGIS,71386049,Facturado,gp@vsys.com,5/8/2018,32614603,UNC.CUAD60.BS.104,UNR.CUAD60.BS.104,32614604,15,15,223.45,3351.75,3351.75,,
A01181713,CARRIER ENTERPRISE MEXICO S DE RL DE CV CARRIER APODACA PROLOGIS,71386049,Facturado,gp@vsys.com,5/8/2018,32614605,UNC.CUAD60.BS.201,UNR.CUAD60.BS.201,32614606,1,1,41.95,41.95,41.95,,
A01181713,CARRIER ENTERPRISE MEXICO S DE RL DE CV CARRIER APODACA PROLOGIS,71386049,Facturado,gp@vsys.com,5/8/2018,32614607,UNC.CUAD60.BS.901,UNR.CUAD60.BS.901,32614608,15,15,12,180,180,,
A01181713,CARRIER ENTERPRISE MEXICO S DE RL DE CV CARRIER APODACA PROLOGIS,71386049,Facturado,gp@vsys.com,5/8/2018,32614612,UNC.CUAD60.BS.902,UNR.CUAD60.BS.902,32614613,1,1,455,455,455,,
A01181711,CARRIER ENTERPRISE MEXICO S DE RL DE CV CARRIER DEL VALLE NL,71378680,Facturado,gp@vsys.com,7/21/2018,32614466,UNC.CUAD60.BS.104,UNR.CUAD60.BS.104,32614467,85,85,223.45,18993.25,18993.25,,
A01181711,CARRIER ENTERPRISE MEXICO S DE RL DE CV CARRIER DEL VALLE NL,71378680,Facturado,gp@vsys.com,7/21/2018,32614468,UNC.CUAD60.BS.201,UNR.CUAD60.BS.201,32614469,1,1,41.95,41.95,41.95,,
A01181711,CARRIER ENTERPRISE MEXICO S DE RL DE CV CARRIER DEL VALLE NL,71378680,Facturado,gp@vsys.com,7/21/2018,32614470,UNC.CUAD60.BS.901,UNR.CUAD60.BS.901,32614471,85,85,12,1020,1020,,
A01181711,CARRIER ENTERPRISE MEXICO S DE RL DE CV CARRIER DEL VALLE NL,71378680,Facturado,gp@vsys.com,7/21/2018,32614480,UNC.CUAD60.BS.902,UNR.CUAD60.BS.902,32614481,1,1,455,455,455,,
A01181712,CARRIER ENTERPRISE MEXICO S DE RL DE CV BENITO JUAREZ DF 2015,71466790,Facturado,gp@vsys.com,7/20/2018,32614666,UNC.CUAD60.BS.104,UNR.CUAD60.BS.104,32614667,70,70,223.45,15641.5,15641.5,,
A01181712,CARRIER ENTERPRISE MEXICO S DE RL DE CV BENITO JUAREZ DF 2015,71466790,Facturado,gp@vsys.com,7/20/2018,32614668,UNC.CUAD60.BS.901,UNR.CUAD60.BS.901,32614669,70,70,12,840,840,,
A01181712,CARRIER ENTERPRISE MEXICO S DE RL DE CV BENITO JUAREZ DF 2015,71466790,Facturado,gp@vsys.com,7/20/2018,32614670,UNC.CUAD60.BS.201,UNR.CUAD60.BS.201,32614671,1,1,41.95,41.95,41.95,,
A01181712,CARRIER ENTERPRISE MEXICO S DE RL DE CV BENITO JUAREZ DF 2015,71466790,Facturado,gp@vsys.com,7/20/2018,32614672,UNC.CUAD60.BS.902,UNR.CUAD60.BS.902,32614673,1,1,455,455,455,,
A01181707,CARRIER ENTERPRISE MEXICO S DE RL DE CV CARRIER CARRIER CANCUN,71378673,Facturado,gp@vsys.com, 11/08/2018,32614382,UNC.CUAD60.BS.104,UNR.CUAD60.BS.104,32614383,8,8,223.45,1787.6,1787.6,,
A01181707,CARRIER ENTERPRISE MEXICO S DE RL DE CV CARRIER CANCUN,71378673,Facturado,gp@vsys.com, 11/08/2018,32614384,UNC.CUAD60.BS.201,UNR.CUAD60.BS.201,32614385,1,1,41.95,41.95,41.95,,
A01181707,CARRIER ENTERPRISE MEXICO S DE RL DE CV CARRIER CANCUN,71378673,Facturado,gp@vsys.com, 11/08/2018,32614386,UNC.CUAD60.BS.901,UNR.CUAD60.BS.901,32614387,8,8,12,96,96,,
A01181707,CARRIER ENTERPRISE MEXICO S DE RL DE CV CARRIER CANCUN,71378673,Facturado,gp@vsys.com, 11/08/2018,32614388,UNC.CUAD60.BS.902,UNR.CUAD60.BS.902,32614389,1,1,455,455,455,,
A03182444,CARRIER ENTERPRISE MEXICO S DE RL DE CV CARRIER QUERETARO,71647946,Facturado,gp@vsys.com, 30/08/2018,32843022,UNC.CUAD60.BS.104,UNR.CUAD60.BS.104,32843023,1,1,223.45,223.45,223.45,,
A03182444,CARRIER ENTERPRISE MEXICO S DE RL DE CV CARRIER QUERETARO,71647946,Facturado,gp@vsys.com, 30/08/2018,32843024,UNC.CUAD60.BS.901,UNR.CUAD60.BS.901,32843025,1,1,12,12,12,,
