folio,clientName,siteNumber,phase,user,startDate,partId,sku,unr,unrId,qty,fac_qty,unitaryPrice,Adjusted income (TOTAL),rent,,period
A05130211 ,BBVA-CD JUAREZ ZONA DORADA CR295,70114369,Facturado,gp@vsys.com,22/02/2013,25458084,UNC.CUAD.901.1,UNR.CUAD.901.1,25458085,1,1,195,195,195,,01/02/2020
A04130125,BBVA-BBVA-PATRIMONIAL NIÑOS HEROES CR707,71397785,Facturado,gp@vsys.com,11/01/2013,25342099,UNC.CUAD.906.1,UNR.CUAD.906.1,25342100,15,15,18.5,277.5,277.5,,
A01130001 ,BBVA-BBVA-PATRIMONIAL NIÑOS HEROES CR707,71397785,Facturado,gp@vsys.com,11/01/2013,24975332,UNC.CUAD.905.1,UNR.CUAD.905.1,24975333,10,10,339.5,3395,3395,,
A01130001 ,BBVA-BBVA-PATRIMONIAL NIÑOS HEROES CR707,71397785,Facturado,gp@vsys.com,11/01/2013,24975334,UNC.CUAD.911.1,UNR.CUAD.911.1,24975335,10,10,12,120,120,,
A08120035 ,BBVA-BBVA-PATRIMONIAL NIÑOS HEROES CR707,71397785,Facturado,gp@vsys.com,11/01/2013,24685525,UNC.CUAD.911.1,UNR.CUAD.911.1,24685526,14,14,12,168,168,,
A08120035 ,BBVA-BBVA-PATRIMONIAL NIÑOS HEROES CR707,71397785,Facturado,gp@vsys.com,11/01/2013,24685527,UNC.CUAD.901.1,UNR.CUAD.901.1,24685528,2,2,195,390,390,,
A04130130,BBVA-MTY Valle Sena CR708,71399003,Facturado,gp@vsys.com,05/10/2012,25342109,UNC.CUAD.906.1,UNR.CUAD.906.1,25342110,28,28,18.5,518,518,,
A08120043,BBVA-BANCA DE EMPRESAS Y GOBIERNO GLORIETA COLON CR1121,71398705,Facturado,gp@vsys.com,07/09/2012,24688827,UNC.CUAD.911.1,UNR.CUAD.911.1,24688828,11,11,12,132,132,,
A05130226 ,BBVA-BANCA DE EMPRESAS Y GOBIERNO GLORIETA COLON CR1121,71398705,Facturado,gp@vsys.com,07/09/2012,25458129,UNC.CUAD.901.1,UNR.CUAD.901.1,25458130,1,1,195,195,195,,
A05130010,BBVA-Lomas verdes CR4214,71364775,Facturado,gp@vsys.com,08/02/2013,25384292,UNC.CUAD.906.1,UNR.CUAD.906.1,25384293,8,8,18.5,148,148,,
A04130126,BBVA-6401 PATRIMONIAL TORREON CR6401,71397786,Facturado,gp@vsys.com,15/11/2012,25342101,UNC.CUAD.906.1,UNR.CUAD.906.1,25342102,7,7,18.5,129.5,129.5,,
A08120036,BBVA-6401 PATRIMONIAL TORREON CR6401,71397786,Facturado,gp@vsys.com,15/11/2012,24685549,UNC.CUAD.911.1,UNR.CUAD.911.1,24685550,10,10,12,120,120,,
A08120036,BBVA-6401 PATRIMONIAL TORREON CR6401,71397786,Facturado,gp@vsys.com,15/11/2012,24685551,UNC.CUAD.901.1,UNR.CUAD.901.1,24685552,2,1,195,390,195,,
A03130049,BBVA-PATRIMONIALLEON CR6405,71397790,Facturado,gp@vsys.com,19/10/2012,25283277,UNC.CUAD.905.1,UNR.CUAD.905.1,25283278,1,1,339.5,339.5,339.5,,
A08120039,BBVA-PATRIMONIALLEON CR6405,71397790,Facturado,gp@vsys.com,19/10/2012,24685624,UNC.CUAD.911.1,UNR.CUAD.911.1,24685625,14,14,12,168,168,,
A10120153,BBVA-PATRIMONIALLEON CR6405,71397790,Facturado,gp@vsys.com,19/10/2012,24774416,UNC.CUAD.911.1,UNR.CUAD.911.1,24774417,2,1,12,24,12,,
A08120039,BBVA-PATRIMONIALLEON CR6405,71397790,Facturado,gp@vsys.com,19/10/2012,24685626,UNC.CUAD.901.1,UNR.CUAD.901.1,24685627,2,1,195,390,195,,
A04130129,BBVA-PATRIMONIALLEON CR6405,71397790,Facturado,gp@vsys.com,19/10/2012,25342107,UNC.CUAD.906.1,UNR.CUAD.906.1,25342108,10,10,18.5,185,185,,
A10120089,BBVA-BANCA DE EMPRESAS Y GOBIERNO GLORIETA COLON CR1121,71398705,Facturado,gp@vsys.com,07/09/2012,24758827,UNC.CUAD.905.1,UNR.CUAD.905.1,24758828,14,11,339.5,4753,3734.5,,
A10120031,BBVA-DELICIAS CENTRO CR276,70114350,Facturado,gp@vsys.com,10/09/2012,24757861,UNC.CUAD.905.1,UNR.CUAD.905.1,24757862,7,7,339.5,2376.5,2376.5,,
A11120065,BBVA-DELICIAS CENTRO CR276,70114350,Facturado,gp@vsys.com,10/09/2012,24683859,UNC.CUAD.901.1,UNR.CUAD.901.1,24683860,3,3,195,585,585,,
A11120065,BBVA-DELICIAS CENTRO CR276,70114350,Facturado,gp@vsys.com,10/09/2012,24683861,UNC.CUAD.911.1,UNR.CUAD.911.1,24683862,7,7,12,84,84,,
A10120059,BBVA-CHEDRAUI VERACRUZ LAS BRISAS CR5199,71273520,Facturado,gp@vsys.com,17/09/2012,24758307,UNC.CUAD.905.1,UNR.CUAD.905.1,24758308,4,4,339.5,1358,1358,,
A10120133,BBVA-CHEDRAUI VERACRUZ LAS BRISAS CR5199,71273520,Facturado,gp@vsys.com,17/09/2012,24684325,UNC.CUAD.911.1,UNR.CUAD.911.1,24684326,4,4,12,48,48,,
A10120133,BBVA-CHEDRAUI VERACRUZ LAS BRISAS CR5199,71273520,Facturado,gp@vsys.com,17/09/2012,24684327,UNC.CUAD.901.1,UNR.CUAD.901.1,24684328,2,2,195,390,390,,
A09120015,BBVA-MTY Valle Sena CR708,71399003,Facturado,gp@vsys.com,05/10/2012,24697160,UNC.CUAD.901.1,UNR.CUAD.901.1,24697161,4,3,195,780,585,,
A10120090,BBVA-MTY Valle Sena CR708,71399003,Facturado,gp@vsys.com,05/10/2012,24697158,UNC.CUAD.911.1,UNR.CUAD.911.1,24697159,34,32,12,408,384,,
A10120090,BBVA-MTY Valle Sena CR708,71399003,Facturado,gp@vsys.com,05/10/2012,24758829,UNC.CUAD.905.1,UNR.CUAD.905.1,24758830,34,32,339.5,11543,10864,,
A10120107,BBVA-MERIDA MACRO PLAZA CR4612,71285594,Facturado,gp@vsys.com,19/10/2012,24770846,UNC.CUAD.905.1,UNR.CUAD.905.1,24770847,6,6,339.5,2037,2037,,
A10120107,BBVA-MERIDA MACRO PLAZA CR4612,71285594,Facturado,gp@vsys.com,19/10/2012,24770848,UNC.CUAD.911.1,UNR.CUAD.911.1,24770849,6,6,12,72,72,,
A10120107,BBVA-MERIDA MACRO PLAZA CR4612,71285594,Facturado,gp@vsys.com,19/10/2012,24770850,UNC.CUAD.901.1,UNR.CUAD.901.1,24770851,2,1,195,390,195,,
A10120040,BBVA-PATRIMONIALLEON CR6405,71397790,Facturado,gp@vsys.com,19/10/2012,24757881,UNC.CUAD.905.1,UNR.CUAD.905.1,24757882,14,14,339.5,4753,4753,,
A10120153,BBVA-PATRIMONIALLEON CR6405,71397790,Facturado,gp@vsys.com,19/10/2012,24774416,UNC.CUAD.911.1,UNR.CUAD.911.1,24774417,2,2,12,24,24,,
A11120090,BBVA-PATRIMONIALLEON CR6405,71397790,Facturado,gp@vsys.com,19/10/2012,24897243,UNC.CUAD.905.1,UNR.CUAD.905.1,24897244,2,2,339.5,679,679,,
A02140281 ,BBVA-DF ARCOS CR5022,71428717,Facturado,gp@vsys.com,11/01/2013,26395892,UNC.CUAD.905.1,UNR.CUAD.905.1,26395893,4,4,339.5,1358,1358,,
A02140281 ,BBVA-DF ARCOS CR5022,71428717,Facturado,gp@vsys.com,11/01/2013,26395894,UNC.CUAD.911.1,UNR.CUAD.911.1,26395895,4,4,12,48,48,,
A02140281 ,BBVA-DF ARCOS CR5022,71428717,Facturado,gp@vsys.com,11/01/2013,26395896,UNC.CUAD.901.1,UNR.CUAD.901.1,26395913,2,2,195,390,390,,
A10120037,BBVA-PATRIMONIAL NIÑOS HEROES CR707,71397785,Facturado,gp@vsys.com,11/01/2013,24757873,UNC.CUAD.905.1,UNR.CUAD.905.1,24757874,14,14,339.5,4753,4753,,
A12120042,BBVA-SAN NICOLAS NORTE CR3802,70114962,Facturado,gp@vsys.com,23/01/2013,24930456,UNC.CUAD.905.1,UNR.CUAD.905.1,24930457,4,4,339.5,1358,1358,,
A12120042,BBVA-SAN NICOLAS NORTE CR3802,70114962,Facturado,gp@vsys.com,23/01/2013,24930458,UNC.CUAD.911.1,UNR.CUAD.911.1,24930459,4,4,12,48,48,,
A12120042,BBVA-SAN NICOLAS NORTE CR3802,70114962,Facturado,gp@vsys.com,23/01/2013,24930460,UNC.CUAD.901.1,UNR.CUAD.901.1,24930461,2,2,195,390,390,,
A11120014,BBVA-EXPO BANCOMER CR5135,71299079,Facturado,gp@vsys.com,23/01/2013,24804008,UNC.CUAD.905.1,UNR.CUAD.905.1,24804009,5,5,339.5,1697.5,1697.5,,
A11120014,BBVA-EXPO BANCOMER CR5135,71299079,Facturado,gp@vsys.com,23/01/2013,24804004,UNC.CUAD.911.1,UNR.CUAD.911.1,24804005,5,5,12,60,60,,
A11120014,BBVA-EXPO BANCOMER CR5135,71299079,Facturado,gp@vsys.com,23/01/2013,24804006,UNC.CUAD.901.1,UNR.CUAD.901.1,24804007,1,1,195,195,195,,
A12120037,BBVA-D.F. PLAZA MIRAMONTES CR257,70114334,Facturado,gp@vsys.com,25/01/2013,24930318,UNC.CUAD.905.1,UNR.CUAD.905.1,24930319,5,5,339.5,1697.5,1697.5,,
A12120037,BBVA-D.F. PLAZA MIRAMONTES CR257,70114334,Facturado,gp@vsys.com,25/01/2013,24930320,UNC.CUAD.911.1,UNR.CUAD.911.1,24930321,5,5,12,60,60,,
