folio,siteNumber,phase,clientName,user,startDate,partId,sku,unr,unrId,qty,fac_qty,unitaryPrice,Adjusted income (TOTAL),rent,,period
A10140246,70015975,Facturado,SECCION AMARILLA AGENCIA TOLUCA,gp@vsys.com,6/18/2015,27351165,UNC.CUAD.904.1.4,UNR.CUAD.904.1.4,27397817,20,20,162.8,3256,3256,,1/7/2019
A10140246,70015975,Facturado,SECCION AMARILLA AGENCIA TOLUCA,gp@vsys.com,6/18/2015,27351286,UNC.CUAD.911.1,UNR.CUAD.911.1,27397850,22,20,12,264,240,,
A10140246,70015975,Facturado,SECCION AMARILLA AGENCIA TOLUCA,gp@vsys.com,6/18/2015,27351255,UNC.CUAD.906.1,UNR.CUAD.906.1,27351283,20,18,18.5,370,333,,
A10140246,70015975,Facturado,SECCION AMARILLA AGENCIA TOLUCA,gp@vsys.com,6/18/2015,27351284,UNC.CUAD.907.1,UNR.CUAD.907.1,27351285,20,18,18.5,370,333,,
A10140246,70015975,Facturado,SECCION AMARILLA AGENCIA TOLUCA,gp@vsys.com,6/18/2015,27351152,UNC.CUAD.901.1,UNR.CUAD.901.1,27351164,2,2,136.3,272.6,272.6,,
A10140248,71251012,Facturado,SECCION AMARILLA AGENCIA CUERNAVACA,gp@vsys.com,6/19/2015,27351554,UNC.CUAD.901.1,UNR.CUAD.901.1,27351566,2,2,136.3,272.6,272.6,,
A10140248,71251012,Facturado,SECCION AMARILLA AGENCIA CUERNAVACA,gp@vsys.com,6/19/2015,27351567,UNC.CUAD.904.1.4,UNR.CUAD.904.1.4,27351652,19,19,162.8,3093.2,3093.2,,
A10140248,71251012,Facturado,SECCION AMARILLA AGENCIA CUERNAVACA,gp@vsys.com,6/19/2015,27351681,UNC.CUAD.907.1,UNR.CUAD.907.1,27351682,19,18,18.5,351.5,333,,
A10140248,71251012,Facturado,SECCION AMARILLA AGENCIA CUERNAVACA,gp@vsys.com,6/19/2015,27351653,UNC.CUAD.906.1,UNR.CUAD.906.1,27351680,19,18,18.5,351.5,333,,
A10140248,71251012,Facturado,SECCION AMARILLA AGENCIA CUERNAVACA,gp@vsys.com,6/19/2015,27351683,UNC.CUAD.911.1,UNR.CUAD.911.1,27351684,21,20,12,252,240,,
A10140115,70100182,Facturado,SECCION AMARILLA AGENCIA MAZATLAN,gp@vsys.com,7/16/2015,27345847,UNC.CUAD.901.1,UNR.CUAD.901.1,27345859,2,2,136.3,272.6,272.6,,
A10140115,70100182,Facturado,SECCION AMARILLA AGENCIA MAZATLAN,gp@vsys.com,7/16/2015,27345860,UNC.CUAD.904.1.4,UNR.CUAD.904.1.4,27345943,16,16,162.8,2604.8,2604.8,,
A10140115,70100182,Facturado,SECCION AMARILLA AGENCIA MAZATLAN,gp@vsys.com,7/16/2015,27345969,UNC.CUAD.907.1,UNR.CUAD.907.1,27345970,16,14,18.5,296,259,,
A10140115,70100182,Facturado,SECCION AMARILLA AGENCIA MAZATLAN,gp@vsys.com,7/16/2015,27345971,UNC.CUAD.911.1,UNR.CUAD.911.1,27345972,18,16,12,216,192,,
A10140115,70100182,Facturado,SECCION AMARILLA AGENCIA MAZATLAN,gp@vsys.com,7/16/2015,27345944,UNC.CUAD.906.1,UNR.CUAD.906.1,27345968,16,14,18.5,296,259,,
A11140052,70020971,Facturado,SECCION AMARILLA AGENCIA SAN LUIS POTOSI,gp@vsys.com,7/3/2015,27395898,UNC.CUAD.901.1,UNR.CUAD.901.1,27395910,2,2,136.3,272.6,272.6,,
A11140052,70020971,Facturado,SECCION AMARILLA AGENCIA SAN LUIS POTOSI,gp@vsys.com,7/3/2015,27395911,UNC.CUAD.904.1.4,UNR.CUAD.904.1.4,27395996,19,19,162.8,3093.2,3093.2,,
A11140052,70020971,Facturado,SECCION AMARILLA AGENCIA SAN LUIS POTOSI,gp@vsys.com,7/3/2015,27396025,UNC.CUAD.907.1,UNR.CUAD.907.1,27396026,19,18,18.5,351.5,333,,
A11140052,70020971,Facturado,SECCION AMARILLA AGENCIA SAN LUIS POTOSI,gp@vsys.com,7/3/2015,27396027,UNC.CUAD.911.1,UNR.CUAD.911.1,27396028,21,20,12,252,240,,
A11140052,70020971,Facturado,SECCION AMARILLA AGENCIA SAN LUIS POTOSI,gp@vsys.com,7/3/2015,27395997,UNC.CUAD.906.1,UNR.CUAD.906.1,27396024,19,18,18.5,351.5,333,,
A10140333,70015981,Facturado,SECCION AMARILLA AGENCIA CELAYA,gp@vsys.com,7/1/2015,27421740,UNC.CUAD.901.1,UNR.CUAD.901.1,27421752,2,2,136.3,272.6,272.6,,
A10140333,70015981,Facturado,SECCION AMARILLA AGENCIA CELAYA,gp@vsys.com,7/1/2015,27421753,UNC.CUAD.904.1.4,UNR.CUAD.904.1.4,27421806,11,11,162.8,1790.8,1790.8,,
A10140333,70015981,Facturado,SECCION AMARILLA AGENCIA CELAYA,gp@vsys.com,7/1/2015,27421827,UNC.CUAD.907.1,UNR.CUAD.907.1,27421828,11,9,18.5,203.5,166.5,,
A10140333,70015981,Facturado,SECCION AMARILLA AGENCIA CELAYA,gp@vsys.com,7/1/2015,27421829,UNC.CUAD.911.1,UNR.CUAD.911.1,27421830,13,11,12,156,132,,
A10140333,70015981,Facturado,SECCION AMARILLA AGENCIA CELAYA,gp@vsys.com,7/1/2015,27421807,UNC.CUAD.906.1,UNR.CUAD.906.1,27421826,11,9,18.5,203.5,166.5,,
A10140331,70050943,Facturado,SECCION AMARILLA AGENCIA JALAPA,gp@vsys.com,7/13/2015,27421356,UNC.CUAD.904.1.4,UNR.CUAD.904.1.4,27421421,14,14,162.8,2279.2,2279.2,,
A10140331,70050943,Facturado,SECCION AMARILLA AGENCIA JALAPA,gp@vsys.com,7/13/2015,27421445,UNC.CUAD.907.1,UNR.CUAD.907.1,27421446,14,14,18.5,259,259,,
A10140331,70050943,Facturado,SECCION AMARILLA AGENCIA JALAPA,gp@vsys.com,7/13/2015,27421447,UNC.CUAD.911.1,UNR.CUAD.911.1,27421448,16,16,12,192,192,,
A10140331,70050943,Facturado,SECCION AMARILLA AGENCIA JALAPA,gp@vsys.com,7/13/2015,27421422,UNC.CUAD.906.1,UNR.CUAD.906.1,27421444,14,14,18.5,259,259,,
A10140330,71282577,Facturado,SECCION AMARILLA AGENCIA VERACRUZ,gp@vsys.com,7/8/2015,27420848,UNC.CUAD.901.1,UNR.CUAD.901.1,27420860,2,2,136.3,272.6,272.6,,
A10140330,71282577,Facturado,SECCION AMARILLA AGENCIA VERACRUZ,gp@vsys.com,7/8/2015,27420759,UNC.CUAD.904.1.4,UNR.CUAD.904.1.4,27420847,19,19,162.8,3093.2,3093.2,,
A10140330,71282577,Facturado,SECCION AMARILLA AGENCIA VERACRUZ,gp@vsys.com,7/8/2015,27420889,UNC.CUAD.907.1,UNR.CUAD.907.1,27420890,19,15,18.5,351.5,277.5,,
A10140330,71282577,Facturado,SECCION AMARILLA AGENCIA VERACRUZ,gp@vsys.com,7/8/2015,27420914,UNC.CUAD.911.1,UNR.CUAD.911.1,27420915,21,17,12,252,204,,
A10140330,71282577,Facturado,SECCION AMARILLA AGENCIA VERACRUZ,gp@vsys.com,7/8/2015,27420861,UNC.CUAD.906.1,UNR.CUAD.906.1,27420888,19,15,18.5,351.5,277.5,,
A10140109,71236930,Facturado,SECCION AMARILLA AGENCIA MERIDA,gp@vsys.com,8/13/2015,27344707,UNC.CUAD.904.1.4,UNR.CUAD.904.1.4,27344800,21,21,162.8,3418.8,3418.8,,
A10140109,71236930,Facturado,SECCION AMARILLA AGENCIA MERIDA,gp@vsys.com,8/13/2015,27344833,UNC.CUAD.911.1,UNR.CUAD.911.1,27344834,23,22,12,276,264,,
A10140109,71236930,Facturado,SECCION AMARILLA AGENCIA MERIDA,gp@vsys.com,8/13/2015,27344694,UNC.CUAD.901.1 ,UNR.CUAD.901.1 ,27344706,2,2,136.3,272.6,272.6,,
A10140109,71236930,Facturado,SECCION AMARILLA AGENCIA MERIDA,gp@vsys.com,8/13/2015,27344801,UNC.CUAD.906.1,UNR.CUAD.906.1,27344830,21,20,18.5,388.5,370,,
A10140268,70020973,Facturado,SECCION AMARILLA DIVISION HERMOSILLO,gp@vsys.com,10/9/2015,27408422,UNC.CUAD.901.1,UNR.CUAD.901.1,27408434,2,2,136.3,272.6,272.6,,
A10140268,70020973,Facturado,SECCION AMARILLA DIVISION HERMOSILLO,gp@vsys.com,10/9/2015,27408435,UNC.CUAD.904.1.4,UNR.CUAD.904.1.4,27408572,32,32,162.8,5209.6,5209.6,,
A10140268,70020973,Facturado,SECCION AMARILLA DIVISION HERMOSILLO,gp@vsys.com,10/9/2015,27408573,UNC.CUAD.906.1,UNR.CUAD.906.1,27408613,32,31,18.5,592,573.5,,
A10140268,70020973,Facturado,SECCION AMARILLA DIVISION HERMOSILLO,gp@vsys.com,10/9/2015,27408616,UNC.CUAD.911.1,UNR.CUAD.911.1,27408617,34,33,12,408,396,,
A10140263,71286960,Facturado,SECCION AMARILLA DIV MTY I,gp@vsys.com,12/1/2015,27405235,UNC.CUAD.901.1,UNR.CUAD.901.1,27405247,2,2,136.3,272.6,272.6,,
A10140263,71286960,Facturado,SECCION AMARILLA DIV MTY I,gp@vsys.com,12/1/2015,27405248,UNC.CUAD.904.1.4,UNR.CUAD.904.1.4,27405601,86,86,162.8,14000.8,14000.8,,
A10140263,71286960,Facturado,SECCION AMARILLA DIV MTY I,gp@vsys.com,12/1/2015,27405602,UNC.CUAD.906.1,UNR.CUAD.906.1,27405696,86,66,18.5,1591,1221,,
A10140263,71286960,Facturado,SECCION AMARILLA DIV MTY I,gp@vsys.com,12/1/2015,27405699,UNC.CUAD.911.1,UNR.CUAD.911.1,27405700,88,68,12,1056,816,,
A10140343,71379786,Facturado,SECCION AMARILLA PUEBLA AMPLIACION REFORMA OCT 2011,gp@vsys.com,12/16/2015,27406632,UNC.CUAD.904.1.4,UNR.CUAD.904.1.4,27406865,56,56,162.8,9116.8,9116.8,,
A10140343,71379786,Facturado,SECCION AMARILLA PUEBLA AMPLIACION REFORMA OCT 2011,gp@vsys.com,12/16/2015,27406619,UNC.CUAD.901.1,UNR.CUAD.901.1,27406631,2,2,136.3,272.6,272.6,,
A10140343,71379786,Facturado,SECCION AMARILLA PUEBLA AMPLIACION REFORMA OCT 2011,gp@vsys.com,12/16/2015,27406866,UNC.CUAD.906.1,UNR.CUAD.906.1,27406930,56,48,18.5,1036,888,,
A10140343,71379786,Facturado,SECCION AMARILLA PUEBLA AMPLIACION REFORMA OCT 2011,gp@vsys.com,12/16/2015,27406933,UNC.CUAD.911.1,UNR.CUAD.911.1,27406934,58,50,12,696,600,,
A10140278,70015972,Facturado,SECCION AMARILLA AGENCIA PUERTO VALLARTA,gp@vsys.com,1/13/2016,27410145,UNC.CUAD.901.1,UNR.CUAD.901.1,27410157,2,2,136.3,272.6,272.6,,
A10140278,70015972,Facturado,SECCION AMARILLA AGENCIA PUERTO VALLARTA,gp@vsys.com,1/13/2016,27410158,UNC.CUAD.904.1.4,UNR.CUAD.904.1.4,27410231,16,16,162.8,2604.8,2604.8,,
A10140278,70015972,Facturado,SECCION AMARILLA AGENCIA PUERTO VALLARTA,gp@vsys.com,1/13/2016,27410232,UNC.CUAD.906.1,UNR.CUAD.906.1,27410256,16,10,18.5,296,185,,
A10140278,70015972,Facturado,SECCION AMARILLA AGENCIA PUERTO VALLARTA,gp@vsys.com,1/13/2016,27410259,UNC.CUAD.911.1,UNR.CUAD.911.1,27410260,18,12,12,216,144,,
A10140258,71286070,Facturado,SECCION AMARILLA AGENCIA MORELIA,gp@vsys.com,1/19/2016,27404216,UNC.CUAD.901.1,UNR.CUAD.901.1,27404228,2,2,136.3,272.6,272.6,,
A10140258,71286070,Facturado,SECCION AMARILLA AGENCIA MORELIA,gp@vsys.com,1/19/2016,27404229,UNC.CUAD.904.1.4,UNR.CUAD.904.1.4,27404322,21,21,162.8,3418.8,3418.8,,
A10140258,71286070,Facturado,SECCION AMARILLA AGENCIA MORELIA,gp@vsys.com,1/19/2016,27404323,UNC.CUAD.906.1,UNR.CUAD.906.1,27404352,21,19,18.5,388.5,351.5,,
A10140258,71286070,Facturado,SECCION AMARILLA AGENCIA MORELIA,gp@vsys.com,1/19/2016,27404355,UNC.CUAD.911.1,UNR.CUAD.911.1,27404356,23,21,12,276,252,,
A10140274,71399161,Facturado,SECCION AMARILLA SECCION NVO DOM REYNOSA,gp@vsys.com,1/20/2016,27409547,UNC.CUAD.901.1,UNR.CUAD.901.1,27409559,2,2,136.3,272.6,272.6,,
A10140274,71399161,Facturado,SECCION AMARILLA SECCION NVO DOM REYNOSA,gp@vsys.com,1/20/2016,27409560,UNC.CUAD.904.1.4,UNR.CUAD.904.1.4,27409653,21,21,162.8,3418.8,3418.8,,
A10140274,71399161,Facturado,SECCION AMARILLA SECCION NVO DOM REYNOSA,gp@vsys.com,1/20/2016,27409654,UNC.CUAD.906.1,UNR.CUAD.906.1,27409683,21,14,18.5,388.5,259,,
A10140274,71399161,Facturado,SECCION AMARILLA SECCION NVO DOM REYNOSA,gp@vsys.com,1/20/2016,27409686,UNC.CUAD.911.1,UNR.CUAD.911.1,27409687,23,16,12,276,192,,
A10140279,70015979,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA AGENCIA SALTILLO",gp@vsys.com,1/26/2016,27410603,UNC.CUAD.901.1,UNR.CUAD.901.1,27410615,2,2,136.3,272.6,272.6,,
A10140279,70015979,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA AGENCIA SALTILLO",gp@vsys.com,1/26/2016,27410616,UNC.CUAD.904.1.4,UNR.CUAD.904.1.4,27410689,16,16,162.8,2604.8,2604.8,,
A10140279,70015979,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA AGENCIA SALTILLO",gp@vsys.com,1/26/2016,27410690,UNC.CUAD.906.1,UNR.CUAD.906.1,27410714,16,14,18.5,296,259,,
A10140279,70015979,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA AGENCIA SALTILLO",gp@vsys.com,1/26/2016,27410717,UNC.CUAD.911.1,UNR.CUAD.911.1,27410718,18,16,12,216,192,,
A10140341,70050956,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V.  SECCION AMARILLA AGENCIA DURANGO",gp@vsys.com,2/3/2016,27403842,UNC.CUAD.901.1,UNR.CUAD.901.1,27403854,2,2,136.3,272.6,272.6,,
A10140341,70050956,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V.  SECCION AMARILLA AGENCIA DURANGO",gp@vsys.com,2/3/2016,27403855,UNC.CUAD.904.1.4,UNR.CUAD.904.1.4,27403928,16,16,162.8,2604.8,2604.8,,
A10140341,70050956,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V.  SECCION AMARILLA AGENCIA DURANGO",gp@vsys.com,2/3/2016,27403929,UNC.CUAD.906.1,UNR.CUAD.906.1,27403953,16,12,18.5,296,222,,
A10140341,70050956,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V.  SECCION AMARILLA AGENCIA DURANGO",gp@vsys.com,2/3/2016,27403956,UNC.CUAD.911.1,UNR.CUAD.911.1,27403957,18,14,12,216,168,,
A10140144,70020970,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA AGENCIA AGUASCALIENTES",gp@vsys.com,2/11/2016,27355087,UNC.CUAD.901.1,UNR.CUAD.901.1,27355099,2,2,136.3,272.6,272.6,,
A10140144,70020970,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA AGENCIA AGUASCALIENTES",gp@vsys.com,2/11/2016,27355100,UNC.CUAD.904.1.4,UNR.CUAD.904.1.4,27355201,23,23,162.8,3744.4,3744.4,,
A10140144,70020970,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA AGENCIA AGUASCALIENTES",gp@vsys.com,2/11/2016,27355202,UNC.CUAD.906.1,UNR.CUAD.906.1,27355233,23,17,18.5,425.5,314.5,,
A10140144,70020970,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA AGENCIA AGUASCALIENTES",gp@vsys.com,2/11/2016,27355236,UNC.CUAD.911.1,UNR.CUAD.911.1,27355237,25,19,12,300,228,,
A10140152,70050946,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. AGENCIA CIUDAD OBREGON",gp@vsys.com,2/4/2016,27360823,UNC.CUAD.901.1,UNR.CUAD.901.1,27360835,2,2,136.3,272.6,272.6,,
A10140152,70050946,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. AGENCIA CIUDAD OBREGON",gp@vsys.com,2/4/2016,27360836,UNC.CUAD.904.1.4,UNR.CUAD.904.1.4,27360913,17,17,162.8,2767.6,2767.6,,
A10140152,70050946,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. AGENCIA CIUDAD OBREGON",gp@vsys.com,2/4/2016,27360914,UNC.CUAD.906.1,UNR.CUAD.906.1,27360939,17,13,18.5,314.5,240.5,,
A10140152,70050946,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. AGENCIA CIUDAD OBREGON",gp@vsys.com,2/4/2016,27360942,UNC.CUAD.911.1,UNR.CUAD.911.1,27360943,19,15,12,228,180,,
A10140157,70050962,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA DIVISION QUERETARO",gp@vsys.com,2/20/2016,27363891,UNC.CUAD.901.1,UNR.CUAD.901.1,27363903,2,2,136.3,272.6,272.6,,
