folio,clientName,siteNumber,phase,user,startDate ,partId,sku,unr,unrId,qty,fac_qty,unitaryPrice,Adjusted income (TOTAL),rent,,period
A10140268,SECCION AMARILLA DIVISION HERMOSILLO,70020973,Facturado,gp@vsys.com,09/10/2015,27408422,UNC.CUAD.901.1,UNR.CUAD.901.1,27408434,2,2,136.3,272.6,272.6,,01/05/2020
A10140268,SECCION AMARILLA DIVISION HERMOSILLO,70020973,Facturado,gp@vsys.com,09/10/2015,27408573,UNC.CUAD.906.1,UNR.CUAD.906.1,27408613,32,31,18.5,592,573.5,,
A10140268,SECCION AMARILLA DIVISION HERMOSILLO,70020973,Facturado,gp@vsys.com,09/10/2015,27408616,UNC.CUAD.911.1,UNR.CUAD.911.1,27408617,34,33,12,408,396,,
A10140263,SECCION AMARILLA DIV MTY I,71286960,Facturado,gp@vsys.com,01/12/2015,27405235,UNC.CUAD.901.1,UNR.CUAD.901.1,27405247,2,2,136.3,272.6,272.6,,
A10140263,SECCION AMARILLA DIV MTY I,71286960,Facturado,gp@vsys.com,01/12/2015,27405602,UNC.CUAD.906.1,UNR.CUAD.906.1,27405696,86,66,18.5,1591,1221,,
A10140263,SECCION AMARILLA DIV MTY I,71286960,Facturado,gp@vsys.com,01/12/2015,27405699,UNC.CUAD.911.1,UNR.CUAD.911.1,27405700,88,68,12,1056,816,,
A10140343,SECCION AMARILLA PUEBLA AMPLIACION REFORMA OCT 2011,71379786,Facturado,gp@vsys.com,16/12/2015,27406619,UNC.CUAD.901.1,UNR.CUAD.901.1,27406631,2,2,136.3,272.6,272.6,,
A10140343,SECCION AMARILLA PUEBLA AMPLIACION REFORMA OCT 2011,71379786,Facturado,gp@vsys.com,16/12/2015,27406866,UNC.CUAD.906.1,UNR.CUAD.906.1,27406930,56,48,18.5,1036,888,,
A10140343,SECCION AMARILLA PUEBLA AMPLIACION REFORMA OCT 2011,71379786,Facturado,gp@vsys.com,16/12/2015,27406933,UNC.CUAD.911.1,UNR.CUAD.911.1,27406934,58,50,12,696,600,,
A10140263,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA DIV MTY I",71286960,Facturado,gp@vsys.com,31/03/2016,27405602,UNC.CUAD.906.1,UNR.CUAD.906.1,27405696,86,3,18.5,1591,55.5,,
A10140263,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA DIV MTY I",71286960,Facturado,gp@vsys.com,31/03/2016,27405699,UNC.CUAD.911.1,UNR.CUAD.911.1,27405700,86,3,12,1032,36,,
A10140264,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA AGENCIA GUADALAJARA",70210405,Facturado,gp@vsys.com,12/03/2016,27406273,UNC.CUAD.906.1,UNR.CUAD.906.1,27406366,85,66,18.5,1572.5,1221,,
