folio,clientName,siteNumber,phase,user,startDate,partId,sku,unrId,unr,qty,fac_qty,unitaryPrice,Adjusted income (TOTAL),rent,,period
A10140268,SECCION AMARILLA DIVISION HERMOSILLO,70020973,Facturado,gp@vsys.com,10/09/2015,27408422,UNC.CUAD.901.1,27408434,UNR.CUAD.901.1,2,2,136.3,272.6,272.6,,01/11/2019
A10140268,SECCION AMARILLA DIVISION HERMOSILLO,70020973,Facturado,gp@vsys.com,10/09/2015,27408573,UNC.CUAD.906.1,27408613,UNR.CUAD.906.1,32,31,18.5,592,573.5,,
A10140268,SECCION AMARILLA DIVISION HERMOSILLO,70020973,Facturado,gp@vsys.com,10/09/2015,27408616,UNC.CUAD.911.1,27408617,UNR.CUAD.911.1,34,33,12,408,396,,
A10140263,SECCION AMARILLA DIV MTY I,71286960,Facturado,gp@vsys.com,12/01/2015,27405235,UNC.CUAD.901.1,27405247,UNR.CUAD.901.1,2,2,136.3,272.6,272.6,,
A10140263,SECCION AMARILLA DIV MTY I,71286960,Facturado,gp@vsys.com,12/01/2015,27405602,UNC.CUAD.906.1,27405696,UNR.CUAD.906.1,86,66,18.5,1591,1221,,
A10140263,SECCION AMARILLA DIV MTY I,71286960,Facturado,gp@vsys.com,12/01/2015,27405699,UNC.CUAD.911.1,27405700,UNR.CUAD.911.1,88,68,12,1056,816,,
A10140343,SECCION AMARILLA PUEBLA AMPLIACION REFORMA OCT 2011,71379786,Facturado,gp@vsys.com,12/16/2015,27406619,UNC.CUAD.901.1,27406631,UNR.CUAD.901.1,2,2,136.3,272.6,272.6,,
A10140343,SECCION AMARILLA PUEBLA AMPLIACION REFORMA OCT 2011,71379786,Facturado,gp@vsys.com,12/16/2015,27406866,UNC.CUAD.906.1,27406930,UNR.CUAD.906.1,56,48,18.5,1036,888,,
A10140343,SECCION AMARILLA PUEBLA AMPLIACION REFORMA OCT 2011,71379786,Facturado,gp@vsys.com,12/16/2015,27406933,UNC.CUAD.911.1,27406934,UNR.CUAD.911.1,58,50,12,696,600,,
A10140263,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA DIV MTY I",71286960,Facturado,gp@vsys.com,12/01/2015,27405602,UNC.CUAD.906.1,27405696,UNR.CUAD.906.1,86,3,18.5,1591,55.5,,
A10140263,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA DIV MTY I",71286960,Facturado,gp@vsys.com,12/01/2015,27405699,UNC.CUAD.911.1,27405700,UNR.CUAD.911.1,88,3,12,1032,36,,
A10140264,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA AGENCIA GUADALAJARA",70210405,Facturado,gp@vsys.com,03/12/2016,27406273,UNC.CUAD.906.1,27406366,UNR.CUAD.906.1,85,66,18.5,1572.5,1221,,
A10140264,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA AGENCIA GUADALAJARA",70210405,Facturado,gp@vsys.com,03/12/2016,27405908,UNC.CUAD.911.1,27405909,UNR.CUAD.911.1,87,68,12,1044,816,,
A10140264,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA AGENCIA GUADALAJARA",70210405,Facturado,gp@vsys.com,03/12/2016,27405908,UNC.CUAD.911.1,27405909,UNR.CUAD.911.1,87,4,12,1044,48,,
A10140264,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA AGENCIA GUADALAJARA",70210405,Facturado,gp@vsys.com,03/12/2016,27405908,UNC.CUAD.911.1,27405909,UNR.CUAD.911.1,87,1,12,12,12,,
A10140343,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. PUEBLA AMPLIACION REFORMA OCT 2011",71379786,Facturado,gp@vsys.com,12/16/2015,27406933,UNC.CUAD.904.1.4,27406934,UNR.CUAD.911.1,58,1,162.8,162.8,162.8,,
A10140263,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA DIV MTY I",71286960,Facturado,gp@vsys.com,10/17/2016,27406934,UNC.CUAD.911.1,27405700,UNR.CUAD.911.1,1,1,12,12,12,,
A10140235,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V.SECCION AMARILLA CUICUILCO DF",70010209,Facturado,gp@vsys.com,11/25/2016,27392682,UNC.CUAD.901.1,27392694,UNR.CUAD.901.1,465,2,136.3,63379.5,272.6,,
A10140228,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V.SECCION AMARILLA CUICUILCO DF",70010209,Facturado,gp@vsys.com,11/25/2016,27392184,UNC.CUAD.906.1,27392657,UNR.CUAD.906.1,465,127,18.5,8602.5,2349.5,,
A10140228,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA CUICUILCO DF",70010209,Facturado,gp@vsys.com,11/25/2016,27392184,UNC.CUAD.906.1,27392657,UNR.CUAD.906.1,465,1,18.5,8602.5,18.5,,
A10140343,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. PUEBLA AMPLIACION REFORMA OCT 2011",71379786,Facturado,gp@vsys.com,12/16/2015,27406933,UNC.CUAD.911.1,27406934,UNR.CUAD.911.1,58,1,12,696,12,,
