folio,clientName,siteNumber,phase,user,startDate,partId,sku,unr,unrId,qty,fac_qty,unitaryPrice,Adjusted income (TOTAL),rent,,period
A05130210 ,BBVA-BBVA-POLANCO CASTELAR CR6 CR6,70114144,Facturado,gp@vsys.com,12/19/2012,25458082,UNC.CUAD.901.1,UNR.CUAD.901.1,25458083,1,1,195,195,195,,1/9/2019
A05130211 ,BBVA-CD JUAREZ ZONA DORADA CR295,70114369,Facturado,gp@vsys.com,2/22/2013,25458084,UNC.CUAD.901.1,UNR.CUAD.901.1,25458085,1,1,195,195,195,,
A05130212 ,BBVA-D.F. PABELLON BOSQUES CR365,70114434,Facturado,gp@vsys.com,9/10/2012,25458086,UNC.CUAD.901.1,UNR.CUAD.901.1,25458087,1,1,195,195,195,,
A02130023 ,BBVA-GOMEZ PALACIO CENTRO CR378,70114448,Facturado,gp@vsys.com,2/25/2013,25238039,UNC.CUAD.905.1,UNR.CUAD.905.1,25238040,3,3,339.5,1018.5,1018.5,,
A02130023 ,BBVA-GOMEZ PALACIO CENTRO CR378,70114448,Facturado,gp@vsys.com,2/25/2013,25238041,UNC.CUAD.911.1,UNR.CUAD.911.1,25238042,3,3,12,36,36,,
A05130213 ,BBVA-GOMEZ PALACIO CENTRO CR378,70114448,Facturado,gp@vsys.com,2/25/2013,25458088,UNC.CUAD.901.1,UNR.CUAD.901.1,25458089,1,1,195,195,195,,
A08120040,BBVA-BBVA-AGUASCALIENTES PULGAS PANDAS CR461,71235421,Facturado,gp@vsys.com,1/28/2013,24687408,UNC.CUAD.911.1,UNR.CUAD.911.1,24687409,11,11,12,132,132,,
A08120040,BBVA-BBVA-AGUASCALIENTES PULGAS PANDAS CR461,71235421,Facturado,gp@vsys.com,1/28/2013,24687410,UNC.CUAD.901.1,UNR.CUAD.901.1,24687411,4,4,195,780,780,,
A10120101 ,BBVA-GUASAVE CR638,70114629,Facturado,gp@vsys.com,10/24/2012,24770565,UNC.CUAD.901.1,UNR.CUAD.901.1,24770566,3,3,195,585,585,,
A04130125,BBVA-BBVA-PATRIMONIAL NI—OS HEROES CR707,71397785,Facturado,gp@vsys.com,1/11/2013,25342099,UNC.CUAD.906.1,UNR.CUAD.906.1,25342100,15,15,18.5,277.5,277.5,,
